"Pval" "Mean1" "Mean2" "FC_Mean" "Padjust"
"ACTN1" 3.09e-18 0.054 -0.07 0.124 1.14e-16
"ACVRL1" 5.64e-17 0.046 -0.058 0.104 3.67e-16
"AGER" 6.45e-16 -0.053 0.051 -0.104 2.29e-15
"ALKBH4" 3.88e-10 -0.03 0.028 -0.057 6e-10
"ANKRD49" 4.49e-15 -0.053 0.055 -0.108 1.21e-14
"APBB1" 1.02e-16 0.054 -0.062 0.116 5.47e-16
"APBB3" 5.81e-09 -0.035 0.029 -0.065 8.24e-09
"APOE" 7.62e-16 0.053 -0.071 0.124 2.54e-15
"ATP8B1" 2.64e-14 -0.044 0.042 -0.086 5.96e-14
"AURKB" 0.41 -0.005 0 -0.005 0.454
"BIRC5" 0.0118 0.011 -0.017 0.029 0.0138
"BNC2" 2.7e-16 0.051 -0.059 0.109 1.12e-15
"BOLA1" 2.15e-11 -0.037 0.037 -0.075 3.57e-11
"CARF" 3.27e-09 -0.037 0.039 -0.076 4.73e-09
"CAV1" 9.82e-18 0.058 -0.079 0.137 1.39e-16
"CAVIN1" 5.85e-18 0.054 -0.071 0.125 1.14e-16
"CCNA2" 1.16e-08 0.026 -0.033 0.058 1.58e-08
"CCNL2" 2.57e-15 -0.049 0.049 -0.098 7.16e-15
"CD28" 1 0 0 0 1
"CD3D" 3.62e-12 0.039 -0.045 0.084 6.56e-12
"CD4" 4.89e-17 0.046 -0.055 0.101 3.58e-16
"CD74" 7.82e-10 0.03 -0.036 0.065 1.18e-09
"CD86" 2.33e-16 0.046 -0.055 0.102 1.04e-15
"CDC45" 0.145 0.005 -0.009 0.014 0.165
"CDH13" 2.69e-06 0.027 -0.032 0.059 3.41e-06
"CDK11A" 4.15e-09 -0.05 0.05 -0.101 5.94e-09
"CDK5RAP3" 3.82e-15 -0.048 0.049 -0.098 1.04e-14
"CENPF" 0.172 0.006 -0.01 0.016 0.195
"CENPT" 5.25e-13 -0.033 0.03 -0.064 9.97e-13
"CMKLR1" 1.07e-16 0.054 -0.068 0.122 5.57e-16
"CXCL10" 5.08e-11 0.044 -0.053 0.097 8.26e-11
"CYR61" 1 0 0 0 1
"DAB2" 9.8e-18 0.067 -0.08 0.148 1.39e-16
"DCN" 5.05e-17 0.054 -0.068 0.122 3.58e-16
"DDX17" 1.82e-11 -0.038 0.039 -0.077 3.15e-11
"DDX39B" 5.93e-08 -0.029 0.026 -0.056 7.91e-08
"DEPDC1" 0.00597 0.011 -0.014 0.025 0.00711
"DKK3" 5.61e-15 0.072 -0.078 0.15 1.48e-14
"DLGAP5" 2.73e-11 0.033 -0.04 0.074 4.49e-11
"DMTF1" 1.09e-13 -0.049 0.048 -0.097 2.26e-13
"EFCAB6" 4.97e-13 -0.06 0.058 -0.117 9.57e-13
"ELP6" 9.19e-14 -0.043 0.041 -0.083 1.94e-13
"EOMES" 9.34e-11 0.035 -0.038 0.073 1.5e-10
"ERG" 4.08e-17 0.058 -0.072 0.13 3.35e-16
"FANK1" 7.15e-09 -0.037 0.034 -0.071 1e-08
"FBXL15" 0.417 0.001 -0.003 0.004 0.458
"FLI1" 4.11e-18 0.05 -0.064 0.115 1.14e-16
"FLNA" 5.16e-18 0.057 -0.069 0.126 1.14e-16
"FOSL1" 2.9e-07 0.025 -0.032 0.057 3.77e-07
"FOXC2" 2.01e-11 0.038 -0.05 0.088 3.37e-11
"FOXM1" 0.000979 0.011 -0.014 0.025 0.00119
"GATAD1" 3.2e-10 -0.04 0.038 -0.078 5.04e-10
"GLI4" 3.59e-10 -0.036 0.034 -0.07 5.6e-10
"GREM1" 8.45e-17 0.048 -0.055 0.103 4.71e-16
"GTF2IRD2" 1 0 0 0 1
"GTF2IRD2B" 1.96e-14 -0.055 0.054 -0.109 4.5e-14
"HAND2" 6.54e-15 0.054 -0.06 0.114 1.7e-14
"HAVCR2" 1.13e-15 0.047 -0.059 0.106 3.5e-15
"HCK" 1.37e-13 0.036 -0.043 0.079 2.81e-13
"HDAC10" 5.46e-12 -0.038 0.035 -0.073 9.68e-12
"HMGA2" 2.31e-15 0.049 -0.061 0.11 6.56e-15
"HOPX" 1.12e-09 0.042 -0.045 0.087 1.68e-09
"HSF4" 1e-06 -0.025 0.022 -0.047 1.29e-06
"ICAM1" 4.75e-18 0.058 -0.07 0.129 1.14e-16
"IKZF1" 2.48e-17 0.059 -0.078 0.137 2.46e-16
"IL16" 7.3e-16 0.047 -0.06 0.106 2.53e-15
"IL6" 5.69e-12 0.031 -0.036 0.067 9.98e-12
"ITGA3" 5.18e-05 0.018 -0.023 0.041 6.37e-05
"ITGB2" 5.58e-17 0.049 -0.061 0.11 3.67e-16
"KANK2" 2.73e-16 0.038 -0.044 0.082 1.12e-15
"KAT2A" 1.65e-14 -0.046 0.049 -0.095 3.9e-14
"L3MBTL1" 1.99e-11 -0.04 0.038 -0.078 3.37e-11
"LHX4" 1.43e-13 -0.045 0.044 -0.089 2.89e-13
"LILRB4" 1.18e-15 0.05 -0.057 0.107 3.54e-15
"LPIN3" 4.98e-16 -0.062 0.059 -0.121 1.84e-15
"LYL1" 1 0 0 0 1
"LZTS1" 6.58e-17 0.047 -0.056 0.103 3.95e-16
"MECOM" 7.01e-14 -0.05 0.048 -0.098 1.53e-13
"MED11" 1.21e-17 -0.044 0.044 -0.088 1.57e-16
"MED31" 1 0 0 0 1
"MEF2C" 2.46e-16 0.04 -0.05 0.09 1.07e-15
"MEIS3" 0.00153 0.023 -0.028 0.051 0.00185
"MNDA" 1.13e-15 0.046 -0.056 0.102 3.5e-15
"MRPL12" 1.84e-11 -0.034 0.031 -0.065 3.15e-11
"MSC" 2.88e-16 0.051 -0.066 0.117 1.15e-15
"MSRB2" 0.655 0.001 -0.006 0.006 0.715
"MXD3" 5.81e-14 -0.046 0.045 -0.091 1.29e-13
"MYOCD" 0.0115 0.008 -0.011 0.019 0.0134
"MZF1" 2.41e-18 -0.066 0.071 -0.137 1.14e-16
"NCF1" 1.74e-15 0.052 -0.062 0.114 5.02e-15
"NFAM1" 6.84e-18 0.051 -0.06 0.111 1.19e-16
"NLRP3" 3.42e-17 0.047 -0.057 0.104 2.96e-16
"NOTCH3" 0.307 0.002 -0.005 0.007 0.342
"NOTCH4" 0.268 0.003 -0.007 0.01 0.3
"OSM" 1.85e-13 0.046 -0.053 0.099 3.69e-13
"PABPC1L" 1 0 0 0 1
"PAXBP1" 1.79e-14 -0.051 0.05 -0.1 4.18e-14
"PDE2A" 1.17e-09 0.047 -0.045 0.092 1.74e-09
"PIDD1" 0.017 -0.015 0.016 -0.031 0.0196
"PLEK" 5.08e-16 0.049 -0.055 0.104 1.84e-15
"PLK1" 0.00546 0.011 -0.015 0.026 0.00655
"PNN" 7.25e-17 -0.061 0.061 -0.122 4.19e-16
"POU2AF1" 3.53e-13 0.041 -0.049 0.091 6.89e-13
"PRRX1" 2.67e-17 0.055 -0.061 0.116 2.46e-16
"PSMB9" 4.03e-10 0.03 -0.033 0.063 6.17e-10
"PTGES2" 0.00699 -0.011 0.008 -0.019 0.00826
"PYHIN1" 1.63e-14 0.047 -0.055 0.102 3.9e-14
"RBM39" 1.68e-09 -0.045 0.045 -0.09 2.47e-09
"RECQL5" 7.48e-15 -0.053 0.061 -0.114 1.88e-14
"RHOH" 4.71e-16 0.052 -0.061 0.113 1.79e-15
"S100A9" 4.48e-17 0.054 -0.063 0.117 3.49e-16
"S1PR1" 2.68e-17 0.047 -0.062 0.11 2.46e-16
"SAP18" 2.03e-13 -0.044 0.04 -0.084 4.01e-13
"SARNP" 7.08e-14 -0.041 0.037 -0.078 1.53e-13
"SFRP4" 1.24e-15 0.052 -0.061 0.113 3.64e-15
"SLC11A1" 4.1e-12 0.037 -0.043 0.08 7.35e-12
"SLIRP" 9.12e-06 -0.017 0.014 -0.03 1.14e-05
"SMO" 6.55e-13 0.049 -0.056 0.105 1.22e-12
"SOX17" 2.31e-09 0.029 -0.039 0.067 3.37e-09
"SOX18" 2.71e-08 0.034 -0.045 0.079 3.68e-08
"SPI1" 2.24e-16 0.044 -0.053 0.097 1.03e-15
"STK36" 8.2e-09 -0.036 0.035 -0.071 1.14e-08
"SULF1" 1.45e-16 0.047 -0.052 0.099 7.3e-16
"TAF1C" 7.21e-08 -0.032 0.03 -0.062 9.54e-08
"TAF1D" 1e-14 -0.055 0.05 -0.106 2.48e-14
"TCEA3" 1.21e-06 -0.031 0.03 -0.061 1.55e-06
"TFEC" 1 0 0 0 1
"TGFB1" 3.07e-08 0.029 -0.036 0.066 4.13e-08
"TGFB1I1" 4.84e-18 0.053 -0.067 0.12 1.14e-16
"TGFB2" 7.65e-16 0.052 -0.068 0.119 2.54e-15
"TLR2" 9.11e-09 0.028 -0.033 0.061 1.26e-08
"TLR4" 5.31e-13 0.039 -0.054 0.093 9.97e-13
"TMIGD3" 3.41e-16 0.055 -0.069 0.124 1.33e-15
"TNFAIP3" 1.69e-16 0.051 -0.067 0.118 8.24e-16
"TNFSF8" 1.32e-14 0.047 -0.057 0.105 3.21e-14
"TOP2A" 3.13e-05 -0.022 0.019 -0.041 3.88e-05
"TRIM52" 1.7e-17 -0.052 0.054 -0.106 2.04e-16
"TSSK4" 1 0 0 0 1
"VGLL3" 0.0349 0.006 -0.008 0.014 0.04
"ZC3H8" 1.99e-16 -0.059 0.07 -0.129 9.4e-16
"ZEB1" 2.67e-17 0.048 -0.063 0.111 2.46e-16
"ZEB2" 2.14e-18 0.049 -0.059 0.108 1.14e-16
"ZNF133" 4.71e-06 -0.027 0.024 -0.051 5.92e-06
"ZNF169" 1 0 0 0 1
"ZNF19" 1 0 0 0 1
"ZNF23" 8.83e-16 -0.051 0.049 -0.1 2.87e-15
"ZNF276" 1.37e-07 -0.035 0.03 -0.065 1.79e-07
"ZNF337" 7.07e-15 -0.04 0.037 -0.077 1.81e-14
"ZNF354B" 1 0 0 0 1
"ZNF469" 6.41e-17 0.058 -0.071 0.129 3.95e-16
"ZNF688" 1.56e-12 -0.042 0.04 -0.082 2.87e-12
"ZNF692" 1.14e-15 -0.043 0.042 -0.085 3.5e-15
"ZNF785" 1 0 0 0 1
"ZNF789" 7.78e-14 -0.05 0.055 -0.105 1.66e-13
"ZNF862" 1 0 0 0 1
"ZRANB2" 1.02e-10 -0.04 0.039 -0.079 1.62e-10
