"Pval" "Mean1" "Mean2" "FC_Mean" "Padjust"
"ACTN1" 2.93e-22 0.043 -0.04 0.083 2.85e-21
"ACVRL1" 0.00022 0.016 -0.014 0.03 0.00033
"AGER" 2.26e-24 -0.045 0.045 -0.091 3.53e-23
"ALKBH4" 2.16e-06 0.016 -0.016 0.032 3.92e-06
"ANKRD49" 4.62e-07 -0.023 0.02 -0.042 9.24e-07
"APBB1" 6.29e-17 -0.033 0.036 -0.07 2.45e-16
"APBB3" 4.8e-25 -0.034 0.033 -0.067 9.37e-24
"APOE" 9.01e-10 0.028 -0.025 0.053 2.16e-09
"ATP8B1" 2.66e-06 -0.018 0.014 -0.033 4.72e-06
"AURKB" 1.24e-07 0.018 -0.02 0.038 2.64e-07
"BIRC5" 2.9e-06 0.018 -0.02 0.038 5.08e-06
"BNC2" 2.34e-14 0.031 -0.031 0.062 7.31e-14
"BOLA1" 0.22 0.003 -0.003 0.007 0.249
"CARF" 1.81e-28 -0.045 0.044 -0.089 1.42e-26
"CAV1" 0.621 0.001 -0.003 0.004 0.673
"CAVIN1" 0.000141 0.014 -0.013 0.028 0.000216
"CCNA2" 8.95e-06 0.015 -0.018 0.033 1.52e-05
"CCNL2" 4.61e-23 -0.034 0.032 -0.066 5.54e-22
"CD28" 0.00344 0.019 -0.009 0.027 0.00447
"CD3D" 0.0214 0.011 -0.008 0.019 0.0261
"CD4" 0.00675 0.013 -0.01 0.023 0.00856
"CD74" 0.499 0.003 -0.002 0.005 0.548
"CD86" 0.13 0.007 -0.005 0.012 0.151
"CDC45" 3.01e-08 0.02 -0.023 0.043 6.81e-08
"CDH13" 1.67e-19 0.04 -0.041 0.081 8.7e-19
"CDK11A" 2.23e-07 -0.021 0.02 -0.041 4.64e-07
"CDK5RAP3" 5.34e-23 -0.034 0.033 -0.066 5.95e-22
"CENPF" 2.14e-11 0.021 -0.024 0.045 5.47e-11
"CENPT" 0.0283 -0.007 0.006 -0.013 0.0342
"CMKLR1" 7.34e-12 0.031 -0.027 0.058 1.97e-11
"CXCL10" 8.93e-18 0.034 -0.035 0.069 3.76e-17
"CYR61" 1 0 0 0 1
"DAB2" 0.007 0.011 -0.011 0.022 0.00881
"DCN" 0.207 -0.003 0.006 -0.008 0.236
"DDX17" 5.67e-20 -0.037 0.038 -0.076 3.16e-19
"DDX39B" 6.55e-20 -0.031 0.029 -0.059 3.52e-19
"DEPDC1" 0.000347 0.011 -0.013 0.024 0.000506
"DKK3" 0.915 0.002 0.001 0.001 0.933
"DLGAP5" 3.38e-06 0.015 -0.019 0.034 5.79e-06
"DMTF1" 2.3e-19 -0.031 0.029 -0.06 1.16e-18
