MR & FC_Median & Pval
WNT2 & 0.184 & 2.1447884318879e-93
LUM & 0.178 & 7.65314251039861e-97
PTGIS & 0.172 & 9.22561165350914e-88
COL1A1 & 0.165 & 2.02308082927239e-105
FSTL1 & 0.16 & 1.25851515758961e-96
PRRX1 & 0.159 & 2.00292755868913e-81
SFRP4 & 0.159 & 2.56961458435575e-93
ZNF469 & 0.159 & 1.72635723847862e-94
NBL1 & 0.158 & 1.9964634876938e-58
BASP1 & 0.157 & 2.3763937076932e-76
MSC & 0.155 & 2.55088338029097e-83
DCN & 0.154 & 3.94973537206337e-97
HTRA3 & 0.153 & 6.67964660524578e-75
AEBP1 & 0.152 & 6.74095988308394e-110
HCK & 0.147 & 3.38776932569055e-48
CD4 & 0.146 & 8.57452956856544e-69
TGFB3 & 0.145 & 2.9635889060003e-87
DAB2 & 0.144 & 3.63155275173937e-82
SNAI1 & 0.141 & 2.126232884746e-57
SERPINE1 & 0.139 & 4.53017421365196e-73
FBN1 & 0.135 & 2.34428746728841e-87
SPI1 & 0.135 & 6.55900911320252e-83
SULF1 & 0.135 & 2.76168697405546e-90
IL33 & 0.134 & 4.92164294777654e-36
ZEB2 & 0.134 & 4.3995399822009e-88
IL16 & 0.133 & 4.37567864645312e-71
MEIS3 & 0.133 & 9.22561165350914e-88
LOXL2 & 0.132 & 9.67912480424434e-92
ACVR1 & 0.131 & 5.73173576556919e-70
CMKLR1 & 0.131 & 6.5569280160635e-77
LZTS1 & 0.131 & 2.52328880062066e-77
NLRP3 & 0.131 & 7.42300957525315e-64
IGF2 & 0.13 & 1.97100865865038e-71
TGFB2 & 0.13 & 1.73572434748849e-71
PLEK & 0.129 & 1.07070344329967e-67
BNC2 & 0.128 & 1.02003819072504e-69
ITGB2 & 0.128 & 1.44664053997408e-67
HGF & 0.126 & 3.95547664195749e-51
MICAL2 & 0.126 & 1.56887378015851e-42
CAVIN1 & 0.125 & 3.72590295009713e-64
LILRB4 & 0.125 & 1.55127778033556e-79
F2R & 0.123 & 1.25211055838329e-65
JAG1 & 0.123 & 3.29812028456367e-65
ARID5A & 0.121 & 9.04750849178607e-43
ITGA3 & 0.121 & 1.29346730154805e-57
LMCD1 & 0.121 & 2.4199684751928e-54
PLXND1 & 0.121 & 3.14122444793337e-52
FZD1 & 0.12 & 5.20648138121733e-68
TFEC & 0.12 & 7.00866267581401e-66
CREB3L1 & 0.119 & 5.20648138121733e-68
RHOH & 0.118 & 3.54396917673698e-60
ACTN1 & 0.117 & 9.28393377896733e-66
NFAM1 & 0.117 & 1.19031715172315e-67
SPP1 & 0.117 & 6.11515273425852e-64
CD86 & 0.116 & 2.19339220647498e-61
MNDA & 0.116 & 3.89367734556009e-56
ACVRL1 & 0.114 & 1.2186830675192e-28
CD28 & 0.113 & 9.22118008587199e-43
STAT4 & 0.112 & 1.36531064374542e-22
ARMCX3 & 0.11 & 6.29202326623083e-57
CAV1 & 0.11 & 1.14281259344839e-45
ETS1 & 0.11 & 1.23044403872034e-61
HOXB2 & 0.11 & 3.00098105371041e-28
SOX4 & 0.11 & 1.4628456916311e-60
F2RL1 & 0.109 & 6.90060855316791e-48
SPIB & 0.109 & 2.05001527389524e-41
RHOQ & 0.108 & 1.3941410376611e-56
CYR61 & 0.107 & 2.69387801753019e-28
FLI1 & 0.106 & 3.44642103863295e-49
MEF2C & 0.105 & 1.30813708990306e-41
TCF4 & 0.105 & 2.43416162347842e-32
ELF4 & 0.104 & 1.35014829073309e-39
HCLS1 & 0.104 & 9.56659677649587e-46
BTK & 0.103 & 1.40910943571956e-52
HAVCR2 & 0.103 & 9.01405020395187e-63
PRNP & 0.103 & 8.12865094871935e-25
LGALS9 & 0.102 & 3.49894256885376e-42
TNFSF8 & 0.1 & 1.34983868573758e-44
TWIST1 & 0.1 & 8.06552235498123e-66
OSM & 0.099 & 1.11220407173633e-50
RELB & 0.098 & 2.02243293558536e-55
TSHZ3 & 0.097 & 9.94508985859393e-45
FSTL3 & 0.096 & 3.59787916173609e-35
BHLHE22 & 0.095 & 9.11848145149813e-28
PTAFR & 0.095 & 4.14856939414212e-44
TMEM100 & 0.094 & 6.58608290514868e-31
CIITA & 0.092 & 2.04410887770536e-36
ENG & 0.092 & 3.08023065161769e-24
GLI2 & 0.092 & 5.70860156363085e-54
VAV1 & 0.092 & 9.07921680222167e-25
PELI1 & 0.089 & 3.04191916382741e-31
PRKCB & 0.089 & 7.21121264664685e-38
EBF1 & 0.086 & 9.0360970702789e-40
SLA2 & 0.084 & 7.56704050744605e-32
MYO6 & 0.081 & 1.2070507166609e-18
ZNF521 & 0.081 & 2.63265675478999e-26
NR2F2 & 0.08 & 6.64300773574555e-12
TGFA & 0.08 & 3.28871781677306e-26
FOXP3 & 0.079 & 1.12473860251981e-23
CD3D & 0.078 & 2.60396167932155e-28
DDX58 & 0.076 & 2.78667529536334e-20
MDFI & 0.075 & 7.62238579827292e-31
NOTCH3 & 0.074 & 2.96887886459043e-21
TRIM22 & 0.074 & 7.10772470191392e-24
ZNF831 & 0.074 & 3.67470681732949e-23
PIM2 & 0.072 & 3.630667868487e-24
POU2AF1 & 0.072 & 1.09044206464911e-30
STAT1 & 0.072 & 8.73660920416224e-30
TBX2 & 0.07 & 1.32515164996775e-17
CHRD & 0.069 & 1.20383161631115e-29
RUNX1T1 & 0.069 & 1.62550604102881e-13
ECM1 & 0.068 & 1.33691161764815e-32
SEMA4D & 0.065 & 6.90276224454857e-12
BCL6B & 0.062 & 1.41233774675137e-11
CD40LG & 0.062 & 1.76408238928893e-19
