MR,List_INV_Cancers,No_INV_Cancers
CAVIN1,BLCA COAD LGG OV PAAD STAD LUAD LUSC ESCA,9
PRRX1,BLCA COAD OV PRAD PAAD STAD LUAD LUSC ESCA,9
ICAM1,BLCA COAD LGG OV PRAD PAAD STAD LUSC ESCA,9
ZEB1,BLCA COAD OV PRAD PAAD STAD LUAD LUSC ESCA,9
HCK,BLCA COAD LGG OV PRAD PAAD STAD LUAD ESCA,9
AEBP1,BLCA COAD OV PRAD PAAD STAD LUAD LUSC ESCA,9
MNDA,BLCA COAD LGG OV PRAD PAAD STAD LUSC ESCA,9
GREM1,BLCA COAD OV PRAD PAAD STAD LUAD LUSC ESCA,9
ENG,BLCA COAD LGG OV PRAD PAAD STAD LUAD LUSC,9
MSC,BLCA COAD OV PRAD PAAD STAD LUAD LUSC ESCA,9
SULF1,BLCA COAD OV PRAD PAAD STAD LUAD LUSC ESCA,9
TCEAL7,BLCA COAD LGG OV PAAD STAD LUAD LUSC ESCA,9
LZTS1,BLCA COAD OV PRAD PAAD STAD LUAD LUSC ESCA,9
BCL6B,BLCA COAD LGG OV PRAD PAAD STAD LUAD LUSC,9
MEOX2,BLCA COAD LGG OV PRAD PAAD STAD LUAD LUSC,9
CXCL10,BLCA COAD LGG OV PRAD PAAD STAD LUAD LUSC,9
TNFSF8,BLCA COAD LGG OV PRAD PAAD STAD LUAD LUSC,9
MEIS3,BLCA COAD OV PRAD PAAD STAD LUAD LUSC ESCA,9
VGLL3,COAD LGG OV PRAD PAAD STAD LUAD LUSC ESCA,9
MEF2C,BLCA COAD OV PRAD PAAD STAD LUSC ESCA,8
KANK2,BLCA COAD PRAD PAAD STAD LUAD LUSC ESCA,8
BNC2,BLCA COAD OV PAAD STAD LUAD LUSC ESCA,8
IL16,BLCA COAD LGG OV PRAD PAAD LUSC ESCA,8
BTK,BLCA COAD LGG OV PRAD PAAD LUSC ESCA,8
NCF1,BLCA COAD LGG OV PRAD PAAD LUAD LUSC,8
FLI1,BLCA COAD LGG OV PRAD PAAD STAD LUSC,8
ZNF469,BLCA COAD OV PAAD STAD LUAD LUSC ESCA,8
TGFB1I1,BLCA COAD OV PAAD STAD LUAD LUSC ESCA,8
TCEAL2,BLCA COAD LGG PRAD PAAD STAD LUAD ESCA,8
APOE,BLCA COAD LGG PRAD PAAD STAD LUSC ESCA,8
CSDC2,BLCA COAD LGG PRAD STAD LUAD LUSC ESCA,8
PSMB9,BLCA COAD LGG OV PRAD PAAD LUAD LUSC,8
MYOCD,BLCA COAD LGG OV PRAD STAD LUSC ESCA,8
