MR & FC_Median & Pval
CEBPB & 0.139 & 2.69638e-126
PRRX1 & 0.136 & 3.85042e-182
SULF1 & 0.136 & 2.75099e-194
CYR61 & 0.135 & 1.01856e-155
TNFAIP3 & 0.134 & 1.70794e-173
AEBP1 & 0.129 & 1.40064e-183
IL6 & 0.129 & 2.41561e-176
GREM1 & 0.128 & 3.12814e-194
IL16 & 0.128 & 1.18413e-133
ICAM1 & 0.126 & 6.6697e-172
BTK & 0.123 & 1.34935e-164
TGFB1I1 & 0.123 & 2.77678e-175
SPP1 & 0.12 & 3.51876e-151
CAV1 & 0.119 & 6.4007e-124
MNDA & 0.119 & 6.22882e-152
ACTN1 & 0.118 & 1.22446e-161
ENG & 0.118 & 1.99417e-124
IKZF1 & 0.117 & 7.29013e-132
FLI1 & 0.115 & 3.34104e-147
PYHIN1 & 0.115 & 3.10961e-112
FOXC2 & 0.114 & 4.23199e-126
TLR2 & 0.114 & 1.28169e-131
FLNA & 0.113 & 3.18731e-140
BNC2 & 0.111 & 1.39217e-135
CAVIN1 & 0.11 & 1.84518e-136
HCK & 0.109 & 1.1158e-117
KANK2 & 0.108 & 6.05705e-88
APOE & 0.107 & 2.43284e-154
TNFSF8 & 0.107 & 4.81842e-110
NR4A3 & 0.105 & 3.1454e-115
LZTS1 & 0.104 & 1.35442e-140
BCL6B & 0.102 & 9.29188e-128
NCF1 & 0.102 & 1.71711e-142
HAND2 & 0.101 & 1.61639e-75
MEOX2 & 0.101 & 5.50839e-112
ZNF469 & 0.1 & 2.34744e-122
MSC & 0.098 & 1.18987e-155
DDX58 & 0.097 & 1.00105e-123
CD74 & 0.096 & 1.26176e-79
OSM & 0.096 & 3.51793e-131
CD28 & 0.095 & 1.73096e-88
DKK3 & 0.094 & 3.44801e-81
VGLL3 & 0.093 & 1.86459e-110
HOPX & 0.092 & 6.91432e-83
CD40LG & 0.091 & 2.02052e-90
TRIM22 & 0.091 & 1.62486e-98
S1PR1 & 0.09 & 1.62931e-98
CIITA & 0.089 & 1.15906e-88
CSDC2 & 0.088 & 3.42295e-73
STAT1 & 0.088 & 8.35518e-122
ACVRL1 & 0.087 & 7.55389e-97
CMKLR1 & 0.087 & 4.86003e-88
IFI16 & 0.087 & 1.91262e-89
MEF2C & 0.087 & 1.0079e-82
TGFB2 & 0.087 & 2.2467e-76
ZEB1 & 0.087 & 1.30303e-69
BHLHE40 & 0.086 & 4.40825e-84
CD3D & 0.085 & 1.67427e-87
CXCL10 & 0.084 & 7.55319e-122
CDH13 & 0.083 & 5.97747e-93
PARP15 & 0.082 & 2.15407e-80
MEIS3 & 0.081 & 7.55025e-87
ZNF831 & 0.081 & 2.38229e-55
PARP14 & 0.08 & 3.34768e-75
S100A8 & 0.078 & 4.07716e-95
FOXF1 & 0.077 & 1.06607e-50
IRF1 & 0.073 & 1.14071e-79
S100A9 & 0.073 & 3.99666e-90
PRKCB & 0.072 & 3.91588e-52
FGFR1 & 0.071 & 8.35045e-38
ZNF366 & 0.071 & 9.78187e-58
PDE2A & 0.07 & 1.13943e-39
NLRC5 & 0.069 & 4.44679e-78
POU2AF1 & 0.069 & 1.79853e-56
TCEAL7 & 0.069 & 2.69118e-62
FASLG & 0.067 & 3.65553e-57
FOSL1 & 0.067 & 2.92023e-64
NOTCH3 & 0.066 & 8.78357e-38
ITGA3 & 0.061 & 4.3936e-69
PSMB9 & 0.06 & 3.83555e-63
IL1B & 0.059 & 3.00341e-49
NOTCH4 & 0.058 & 8.4753e-58
PARP9 & 0.058 & 7.04542e-66
APBB1 & 0.055 & 1.89851e-29
BATF2 & 0.045 & 3.83768e-26
TCEAL2 & 0.039 & 5.08386e-16
MYOCD & 0.037 & 4.96747e-17
TBX2 & 0.031 & 1.89212e-08
MUC1 & 0.026 & 1.24589e-08
ZNF423 & 0.023 & 0.000399054
PSMD9 & 0.015 & 7.16197e-05
ZC3H12A & 0.014 & 0.00222171
CCNA2 & 0.012 & 0.0289882
AURKB & -0.01 & 0.0119721
ZNF862 & -0.016 & 1.03246e-06
PIN1 & -0.017 & 3.21156e-07
ASF1B & -0.022 & 1.71913e-07
E2F1 & -0.022 & 1.60109e-10
TOP2A & -0.023 & 1.4829e-08
CEBPA & -0.026 & 2.49339e-13
ADGRF1 & -0.027 & 3.37638e-14
MSRB2 & -0.027 & 1.2532e-06
IPPK & -0.029 & 4.49033e-10
C1QBP & -0.031 & 4.13072e-21
CDC6 & -0.031 & 8.03369e-12
MECOM & -0.031 & 5.01277e-19
DMTF1 & -0.032 & 1.67103e-32
MYSM1 & -0.032 & 1.53846e-24
DDX54 & -0.037 & 3.73789e-25
ERBB2 & -0.037 & 3.20568e-28
CRAMP1 & -0.038 & 3.3049e-22
BOLA3 & -0.039 & 1.62677e-22
RPS14 & -0.04 & 4.85434e-33
ZNF688 & -0.041 & 9.9706e-31
ATP8B1 & -0.042 & 6.09552e-25
ZNF224 & -0.042 & 5.53969e-21
SLIRP & -0.044 & 2.07831e-39
DDX17 & -0.045 & 1.82608e-45
ELF3 & -0.045 & 1.01459e-27
STK36 & -0.045 & 6.4141e-32
CHP1 & -0.047 & 9.99046e-30
CCNL2 & -0.048 & 2.4633e-40
MRPL12 & -0.048 & 2.01527e-35
MED31 & -0.05 & 6.89906e-40
OGT & -0.05 & 1.01887e-51
SUV39H2 & -0.051 & 7.37123e-39
ZRANB2 & -0.052 & 9.47617e-49
SIRT6 & -0.053 & 1.0091e-46
MXD3 & -0.054 & 6.252e-35
RPS27A & -0.056 & 1.7776e-66
ALKBH4 & -0.057 & 9.00852e-53
LPIN3 & -0.057 & 6.8148e-44
ABHD14B & -0.058 & 1.32164e-49
CENPT & -0.058 & 5.51331e-55
GTF2H5 & -0.058 & 1.39003e-59
MDM4 & -0.058 & 8.23374e-64
SPDEF & -0.058 & 2.99043e-52
ZNF354B & -0.058 & 6.25527e-62
CCNL1 & -0.059 & 1.05839e-71
PNN & -0.059 & 2.36637e-65
TAF1C & -0.059 & 4.09046e-72
FBXL15 & -0.06 & 2.50497e-65
RPS3 & -0.06 & 2.39875e-58
DDX39B & -0.061 & 1.32748e-77
E4F1 & -0.062 & 1.33258e-60
MED11 & -0.062 & 1.19699e-80
FANK1 & -0.064 & 5.84063e-57
RPL6 & -0.064 & 6.94193e-70
RBM39 & -0.065 & 2.34387e-60
PTGES2 & -0.066 & 9.77029e-53
ZNF276 & -0.066 & 2.3074e-66
ZNF23 & -0.067 & 6.92096e-73
ZNF337 & -0.067 & 1.61639e-75
MZF1 & -0.068 & 3.3323e-69
APBB3 & -0.069 & 1.52394e-87
DNAJC17 & -0.069 & 3.10417e-90
PIK3R2 & -0.069 & 3.67696e-56
RECQL5 & -0.069 & 1.09068e-67
ZNF700 & -0.069 & 5.04689e-61
AGER & -0.071 & 8.88484e-77
PAXBP1 & -0.071 & 2.20824e-86
SNAPC4 & -0.071 & 2.27137e-73
TSSK4 & -0.071 & 2.45222e-105
SFSWAP & -0.072 & 2.6195e-79
WDR75 & -0.072 & 2.24952e-56
PABPC1L & -0.073 & 3.22289e-79
PA2G4 & -0.074 & 1.89258e-71
SARNP & -0.074 & 4.94313e-78
PIDD1 & -0.075 & 5.4326e-76
TAF1D & -0.075 & 6.4827e-75
ZNF789 & -0.075 & 3.15641e-84
SS18L1 & -0.076 & 1.30716e-73
ZNF26 & -0.077 & 8.42462e-62
BOLA1 & -0.078 & 5.47958e-58
NACA & -0.078 & 4.22589e-77
TCERG1 & -0.079 & 3.61231e-68
HSF4 & -0.081 & 1.85255e-99
ZNF133 & -0.082 & 5.62037e-79
ELP6 & -0.083 & 1.39487e-121
HDAC10 & -0.084 & 3.89041e-85
LHX4 & -0.085 & 9.17957e-121
ANKRD49 & -0.086 & 1.59276e-88
TRIM52 & -0.087 & 3.17856e-109
CDK5RAP3 & -0.089 & 1.32266e-117
ZC3H8 & -0.089 & 8.08821e-88
L3MBTL1 & -0.09 & 1.90474e-94
EPCAM & -0.093 & 1.76757e-109
KAT2A & -0.093 & 1.13642e-105
GTF2IRD2B & -0.094 & 1.71046e-124
ZBTB49 & -0.094 & 1.23623e-130
INO80B & -0.095 & 6.51295e-91
ZNF692 & -0.096 & 1.14402e-122
GNL3 & -0.097 & 8.25227e-100
ZNF169 & -0.098 & 9.21362e-134
ZSCAN32 & -0.102 & 1.6732e-103
GTF2IRD2 & -0.105 & 2.14606e-124
ZNF19 & -0.11 & 5.46221e-133
ZNF653 & -0.112 & 2.42713e-124
