MR & FC_Median & Pval
PRRX1 & 0.14 & 3.59088e-199
SFRP4 & 0.13 & 2.11824e-164
IL6 & 0.129 & 1.2632e-187
SULF1 & 0.126 & 1.89773e-186
GREM1 & 0.124 & 1.92755e-175
ACTN1 & 0.119 & 2.27279e-178
HAND2 & 0.117 & 5.80894e-94
CYR61 & 0.116 & 1.56904e-114
CAV1 & 0.114 & 2.78075e-144
CD4 & 0.113 & 1.99725e-146
DCN & 0.113 & 5.9343e-140
TGFB1 & 0.113 & 3.09548e-151
TGFB1I1 & 0.112 & 3.61244e-173
TNFAIP3 & 0.111 & 2.54043e-129
ICAM1 & 0.108 & 3.30611e-143
ITGB2 & 0.108 & 3.2079e-136
IKZF1 & 0.106 & 2.04186e-130
PLEK & 0.106 & 2.94464e-134
FLI1 & 0.105 & 3.92372e-133
FLNA & 0.105 & 2.7219e-155
ZNF469 & 0.103 & 8.61599e-140
RHOH & 0.102 & 1.19118e-131
IL16 & 0.1 & 1.90517e-115
NFAM1 & 0.1 & 6.27254e-110
VGLL3 & 0.1 & 3.19178e-123
SPI1 & 0.099 & 1.27432e-116
HCK & 0.098 & 2.04889e-125
OSM & 0.098 & 8.30795e-137
CAVIN1 & 0.096 & 1.90517e-115
LZTS1 & 0.096 & 8.24837e-119
LILRB4 & 0.095 & 6.38461e-129
MNDA & 0.094 & 8.94768e-118
CD28 & 0.093 & 1.65997e-89
KANK2 & 0.093 & 5.6825e-66
CD86 & 0.092 & 6.51811e-111
APOE & 0.09 & 1.66803e-111
CMKLR1 & 0.089 & 2.22728e-90
HOPX & 0.089 & 3.43635e-77
MEIS3 & 0.088 & 2.10216e-121
ZEB2 & 0.088 & 9.04445e-105
PYHIN1 & 0.087 & 1.99051e-92
TMIGD3 & 0.087 & 3.16117e-97
MSC & 0.086 & 5.71549e-107
TGFB2 & 0.086 & 1.10253e-83
CD3D & 0.085 & 2.05457e-96
SLC11A1 & 0.084 & 1.85649e-114
LYL1 & 0.083 & 6.10771e-74
NCF1 & 0.083 & 1.11961e-101
BNC2 & 0.082 & 2.37692e-104
TNFSF8 & 0.082 & 3.26604e-93
SOX18 & 0.081 & 1.07978e-80
FOSL1 & 0.079 & 2.31673e-109
MEF2C & 0.079 & 2.4913e-70
TLR4 & 0.079 & 5.35989e-96
S1PR1 & 0.078 & 1.70724e-77
CDH13 & 0.076 & 1.93291e-76
FOXC2 & 0.076 & 7.06834e-60
NOTCH3 & 0.075 & 1.33169e-64
EOMES & 0.074 & 1.05653e-83
TLR2 & 0.073 & 2.59306e-79
ZEB1 & 0.072 & 5.2941e-60
DKK3 & 0.071 & 1.26873e-57
NLRP3 & 0.071 & 9.61725e-98
ACVRL1 & 0.069 & 3.05705e-73
HAVCR2 & 0.069 & 1.59516e-69
ERG & 0.068 & 1.32955e-61
