MR Padj NES Cancer Median_INV_High Median_INV_Low
CD4 2.18145925558419e-05 2.71728317052206 BLCA 0.0638752327608311 -0.12666402005983
SPHK1 2.18145925558419e-05 2.15722192178785 BLCA 0.0784721197424565 -0.15332488390007
FGFR1 2.18145925558419e-05 2.40131101769895 BLCA 0.0629824400905682 -0.11614200278492
ZEB2 2.18145925558419e-05 2.53823093448905 BLCA 0.0712882269591707 -0.127833842787888
CAVIN1 2.18145925558419e-05 2.4602641140352 BLCA 0.0710682830120974 -0.143999238919946
PRRX1 2.18145925558419e-05 2.78977022974739 BLCA 0.0814810257838818 -0.131581583286974
PLXND1 2.18145925558419e-05 1.84402197826732 BLCA 0.0671973981130963 -0.125181578318856
FLNA 2.18145925558419e-05 1.80488694802077 BLCA 0.070321128686053 -0.139895540657516
DDR2 2.18145925558419e-05 2.88713272785906 BLCA 0.0623138107392585 -0.117782024956185
ICAM1 2.18145925558419e-05 1.89577119864682 BLCA 0.0691183816335164 -0.131543232906209
TGFB3 2.18145925558419e-05 2.73578425526464 BLCA 0.0686796281548049 -0.137817393044877
MEF2C 2.18145925558419e-05 2.42308958399158 BLCA 0.0574738097384618 -0.0905808990594074
ITGB2 2.18145925558419e-05 2.94012264198255 BLCA 0.0776292029112912 -0.143270853533751
KANK2 2.18145925558419e-05 2.12916768454346 BLCA 0.0670369260968265 -0.102340606691367
ZEB1 2.18145925558419e-05 2.52719364854027 BLCA 0.0609192975194407 -0.113118011592199
FBN1 2.18145925558419e-05 2.95874067052534 BLCA 0.0696601973905576 -0.133684277130307
BNC2 2.18145925558419e-05 2.8161426369289 BLCA 0.0658888331565533 -0.126361209449809
CMKLR1 2.18145925558419e-05 2.78315498565314 BLCA 0.074558448273528 -0.131645884171471
APBB1 2.18145925558419e-05 1.92166178291427 BLCA 0.0616460412068185 -0.108680544458947
IL16 2.18145925558419e-05 2.67786805123044 BLCA 0.0777176793267117 -0.146226163064917
ACTN1 2.18145925558419e-05 2.15626615687753 BLCA 0.0737917699341062 -0.123971507842629
CD86 2.18145925558419e-05 2.58390139957629 BLCA 0.0583728267495721 -0.136640753373051
IRF8 2.18145925558419e-05 2.68889095495436 BLCA 0.0682811870056307 -0.157036776237242
EBF1 2.18145925558419e-05 2.65236472492967 BLCA 0.0649145984309694 -0.121602450645288
HCK 2.18145925558419e-05 2.87425236866241 BLCA 0.0568830541671739 -0.112851658631395
PLEK 2.18145925558419e-05 2.90938033147841 BLCA 0.0649866136386831 -0.138730408704957
NLRP3 2.18145925558419e-05 2.35026672974534 BLCA 0.0685447896469506 -0.124826435880353
ZNF521 2.18145925558419e-05 2.87910477045882 BLCA 0.0669723359220145 -0.110182060824461
SPI1 2.18145925558419e-05 2.96323597054883 BLCA 0.0623960420478438 -0.130744836323473
BTK 2.18145925558419e-05 2.91523835332896 BLCA 0.0705389522328081 -0.143172405504736
VENTX 2.18145925558419e-05 2.45285400081599 BLCA 0.063960802753496 -0.123008595019799
AEBP1 2.18145925558419e-05 3.14140612460557 BLCA 0.0601444818649201 -0.122030910061138
FSTL1 2.18145925558419e-05 2.28744860072081 BLCA 0.0681904350099207 -0.137909000542402
NFAM1 2.18145925558419e-05 2.76894290893272 BLCA 0.066745636402727 -0.14055225403095
RHOH 2.18145925558419e-05 2.8788030298682 BLCA 0.0599490046512584 -0.134870996088828
F2R 2.18145925558419e-05 2.01981782018681 BLCA 0.0685625768273575 -0.114865471754546
IKZF1 2.18145925558419e-05 2.69604061641916 BLCA 0.0850918395897349 -0.175016082933153
NCF1 2.18145925558419e-05 2.81937874235258 BLCA 0.0663883217085252 -0.130065636458536
