,Pval,Mean1,Mean2,FC_Mean,Padjust
ATP8B1,0.857,0.002,0.001,0.001,0.857
FANK1,0.00482,-0.007,0.001,-0.008,0.00485
TAF1D,0.000326,-0.012,0,-0.012,0.00033
FOXM1,9.07E-05,-0.006,0.005,-0.011,9.25E-05
PSMB9,7.72E-05,0.006,-0.008,0.014,7.92E-05
TOP2A,6.81E-05,-0.005,0.007,-0.011,7.04E-05
DLGAP5,3.4E-07,-0.01,0.006,-0.016,3.53E-07
BIRC5,1.71E-07,-0.011,0.005,-0.015,1.79E-07
SMO,9.82E-08,0.005,-0.011,0.016,1.03E-07
AURKB,7.22E-08,-0.012,0.005,-0.017,7.67E-08
APBB1,7.43E-09,0.009,-0.009,0.017,7.94E-09
SOX18,1.41E-11,0.007,-0.01,0.017,1.52E-11
CCNA2,3.28E-15,-0.016,0.008,-0.024,3.56E-15
CENPF,2.19E-15,-0.013,0.012,-0.025,2.39E-15
DDX17,4.27E-17,-0.009,0.016,-0.025,4.7E-17
PLK1,7.6E-19,-0.015,0.012,-0.027,8.4E-19
TCEA3,2.04E-19,-0.014,0.016,-0.03,2.27E-19
HOPX,6.6E-21,0.014,-0.017,0.031,7.41E-21
LYL1,1.17E-21,0.016,-0.012,0.028,1.32E-21
CDC45,2.29E-22,-0.018,0.014,-0.032,2.61E-22
DEPDC1,2.75E-23,-0.017,0.012,-0.029,3.15E-23
EOMES,8E-24,0.013,-0.014,0.027,9.25E-24
ZNF785,3.01E-24,-0.017,0.015,-0.032,3.51E-24
POU2AF1,2.7E-24,0.019,-0.016,0.035,3.17E-24
ZNF862,5.17E-25,-0.013,0.02,-0.033,6.12E-25
HAND2,6.37E-28,0.019,-0.021,0.039,7.58E-28
MECOM,5.03E-28,0.017,-0.017,0.034,6.04E-28
PYHIN1,2.1E-28,0.018,-0.021,0.039,2.55E-28
FOSL1,1.37E-28,0.012,-0.024,0.037,1.67E-28
SOX17,3.73E-29,0.019,-0.019,0.038,4.58E-29
ZNF688,2.12E-29,-0.019,0.017,-0.036,2.62E-29
CARF,1.7E-29,-0.013,0.022,-0.035,2.12E-29
STK36,1.16E-29,-0.014,0.022,-0.036,1.47E-29
CD3D,6.34E-30,0.018,-0.021,0.039,8.04E-30
EFCAB6,8.01E-31,-0.019,0.019,-0.038,1.02E-30
LPIN3,1.68E-33,-0.023,0.018,-0.041,2.16E-33
TAF1C,1.4E-33,-0.019,0.015,-0.035,1.81E-33
CXCL10,5.97E-34,0.017,-0.023,0.04,7.83E-34
PDE2A,6.84E-35,0.02,-0.023,0.043,9.04E-35
ZNF276,4.99E-35,-0.02,0.017,-0.037,6.65E-35
HMGA2,1.17E-35,0.016,-0.024,0.04,1.57E-35
MSRB2,5.36E-36,-0.02,0.018,-0.038,7.27E-36
GATAD1,8.93E-38,-0.019,0.026,-0.044,1.22E-37
S100A9,3.73E-41,0.018,-0.029,0.047,5.16E-41
SLIRP,2.42E-42,-0.021,0.019,-0.04,3.37E-42
ITGA3,1.42E-48,0.025,-0.027,0.051,2E-48
MYOCD,1.05E-48,0.027,-0.022,0.049,1.49E-48
APOE,2.24E-49,0.02,-0.027,0.047,3.2E-49
NCF1,1.37E-50,0.026,-0.024,0.049,1.97E-50
DDX39B,1.18E-50,-0.019,0.021,-0.04,1.73E-50
MZF1,4.32E-52,-0.024,0.024,-0.049,6.35E-52
RBM39,4.53E-53,-0.024,0.024,-0.048,6.73E-53
FBXL15,3.92E-53,-0.028,0.018,-0.046,5.88E-53
SAP18,2.81E-53,-0.025,0.021,-0.046,4.25E-53
L3MBTL1,1.4E-54,-0.023,0.024,-0.047,2.13E-54
NFAM1,8.65E-56,0.021,-0.022,0.043,1.34E-55
DMTF1,6.34E-56,-0.02,0.023,-0.043,9.89E-56
ERG,2.8E-57,0.024,-0.023,0.048,4.41E-57
NOTCH3,1.09E-59,0.029,-0.026,0.055,1.73E-59
MED31,1.33E-60,-0.031,0.022,-0.053,2.14E-60
TSSK4,6.27E-62,-0.023,0.023,-0.047,1.02E-61
CDH13,1.79E-62,0.027,-0.022,0.049,2.94E-62
GTF2IRD2B,1.48E-62,-0.027,0.029,-0.056,2.46E-62
MED11,3.34E-63,-0.027,0.024,-0.051,5.6E-63
CD28,5.64E-65,0.03,-0.03,0.06,9.57E-65
PNN,3.37E-66,-0.03,0.023,-0.053,5.78E-66
RHOH,1.77E-66,0.027,-0.028,0.055,3.06E-66
SLC11A1,7.88E-67,0.021,-0.03,0.051,1.38E-66
APBB3,2.24E-68,-0.025,0.028,-0.054,3.97E-68
MRPL12,2.64E-69,-0.029,0.024,-0.053,4.74E-69
ZEB1,5.17E-70,0.032,-0.026,0.059,9.38E-70
SARNP,5.76E-71,-0.029,0.025,-0.054,1.06E-70
TGFB1,7.61E-72,0.028,-0.031,0.058,1.41E-71
CD74,6.72E-72,0.034,-0.028,0.062,1.26E-71
ZNF23,1.2E-72,-0.033,0.028,-0.06,2.29E-72
CCNL2,5.64E-73,-0.023,0.025,-0.047,1.09E-72
MXD3,3.28E-73,-0.03,0.03,-0.06,6.4E-73
LHX4,5.56E-74,-0.025,0.027,-0.052,1.1E-73
TNFSF8,2.58E-74,0.031,-0.032,0.063,5.16E-74
IL6,3.06E-77,0.027,-0.036,0.063,6.19E-77
ZNF133,5.34E-78,-0.033,0.026,-0.059,1.1E-77
HCK,1.05E-78,0.029,-0.034,0.063,2.18E-78
CDK11A,7.75E-79,-0.036,0.026,-0.062,1.63E-78
FLNA,1.18E-79,0.031,-0.031,0.063,2.53E-79
AGER,6.81E-81,-0.028,0.023,-0.051,1.48E-80
TLR2,1E-81,0.031,-0.042,0.073,2.2E-81
CENPT,2.34E-82,-0.028,0.025,-0.053,5.22E-82
KANK2,5.91E-83,0.036,-0.033,0.069,1.34E-82
TNFAIP3,2.79E-83,0.028,-0.034,0.062,6.39E-83
ZNF337,2E-83,-0.027,0.032,-0.059,4.67E-83
MEIS3,6.04E-84,0.029,-0.033,0.062,1.43E-83
ZC3H8,2.12E-85,-0.033,0.034,-0.067,5.08E-85
PABPC1L,1.19E-86,-0.028,0.029,-0.058,2.9E-86
PIDD1,1.65E-87,-0.032,0.034,-0.066,4.08E-87
ZRANB2,3.28E-88,-0.032,0.027,-0.058,8.25E-88
TLR4,1.23E-89,0.027,-0.031,0.058,3.14E-89
TMIGD3,1.55E-90,0.036,-0.032,0.068,4.04E-90
ACTN1,2.08E-91,0.033,-0.034,0.067,5.51E-91
NOTCH4,1.73E-91,0.031,-0.038,0.069,4.65E-91
PTGES2,3.77E-93,-0.035,0.033,-0.069,1.03E-92
LZTS1,3.7E-94,0.035,-0.034,0.069,1.03E-93
IKZF1,4.68E-97,0.037,-0.036,0.073,1.33E-96
GTF2IRD2,2.31E-97,-0.034,0.036,-0.071,6.69E-97
S1PR1,1.51E-97,0.034,-0.034,0.068,4.46E-97
OSM,1.52E-97,0.029,-0.036,0.064,4.46E-97
HDAC10,1.1E-100,-0.038,0.035,-0.073,3.35E-100
MNDA,5.97E-103,0.034,-0.038,0.072,1.86E-102
MEF2C,1.68E-105,0.036,-0.038,0.074,5.34E-105
