Pval,Mean1,Mean2,FC_Mean,Padjust
UBE2V1,0.981,-0.002,-0.001,0,0.981
ANXA3,0.889,0.003,0.005,-0.002,0.891
PARP14,0.803,0.006,0.002,0.003,0.808
MACC1,0.787,0.003,0.001,0.002,0.793
BHLHE22,0.782,0,0,0,0.791
CHP1,0.679,0.002,0.002,0,0.689
HOXB2,0.617,0.002,0,0.002,0.628
PELI1,0.277,0.005,0.001,0.004,0.283
FZD1,0.244,0.005,-0.001,0.007,0.25
ZNF593,0.193,0,-0.003,0.003,0.198
KIT,0.137,0.007,0.003,0.004,0.141
TCEAL2,0.133,0.004,-0.003,0.007,0.138
UTP15,0.106,-0.005,0.002,-0.007,0.109
NLRC5,0.0716,0.007,0,0.007,0.0744
TFEC,0.0702,0.006,-0.003,0.009,0.0731
DDX58,0.0586,-0.002,0.003,-0.005,0.0613
AIM2,0.0534,0.002,-0.005,0.007,0.0559
MYSM1,0.0425,-0.001,0.004,-0.005,0.0447
MED27,0.036,0.001,-0.005,0.006,0.038
UXT,0.0213,0.001,-0.007,0.008,0.0226
ARID5A,0.0203,0.005,0.001,0.004,0.0215
JAG1,0.0196,0.006,-0.005,0.011,0.0208
EDNRB,0.0182,0.005,-0.005,0.01,0.0194
DNMT1,0.017,0.005,-0.003,0.008,0.0182
C1QBP,0.0147,-0.007,0.001,-0.008,0.0158
CCNQ,0.0129,-0.01,0.001,-0.011,0.0139
MYBL2,0.0106,0.004,-0.004,0.009,0.0115
PARP15,0.0091,0.009,-0.001,0.01,0.00987
PRNP,0.0049,0.005,-0.007,0.013,0.00533
SPIB,0.00313,0.007,-0.004,0.011,0.00342
CDC6,0.00229,-0.006,0.006,-0.012,0.00251
PRDM16,0.00224,0.007,-0.004,0.011,0.00246
PIM2,0.00192,-0.004,0.007,-0.012,0.00211
RPS27A,0.00182,-0.013,-0.004,-0.01,0.00202
SCAND1,0.00164,-0.007,0.001,-0.008,0.00181
TAF10,0.00152,-0.008,0.003,-0.011,0.00169
BOLA3,0.00147,-0.007,0.003,-0.01,0.00164
GLIS3,0.00072,0.015,0.002,0.013,0.000805
CEBPA,0.000311,0.006,-0.006,0.012,0.000349
PLSCR1,0.000297,0.001,-0.015,0.015,0.000335
PCBD1,0.000241,-0.005,0.008,-0.013,0.000272
GNL3,0.00019,-0.01,0.004,-0.013,0.000216
STAT4,0.000109,0.011,-0.004,0.015,0.000124
STAT1,0.000101,0.007,-0.007,0.014,0.000115
CD40LG,8.97e-05,0.009,-0.004,0.014,0.000103
ITGA3,8.27e-05,0.011,-0.004,0.015,9.51e-05
PSMC5,7.86e-05,-0.007,0.005,-0.012,9.06e-05
FOXF1,3.71e-05,0.008,-0.008,0.016,4.29e-05
RELN,3.37e-05,0.013,-0.003,0.015,3.91e-05
PYHIN1,1.81e-05,0.008,-0.007,0.016,2.1e-05
HIST1H2AM,1.67e-05,-0.008,0.008,-0.016,1.95e-05
DDX54,8.23e-06,0.005,-0.01,0.015,9.65e-06
WNT4,8.03e-06,0.006,-0.007,0.013,9.45e-06
IPPK,5.04e-06,-0.01,0.005,-0.015,5.94e-06
NFAM1,4.24e-06,0.009,-0.003,0.012,5.02e-06
CXCL10,1.61e-06,0.009,-0.01,0.019,1.92e-06
ZC3H12A,8.37e-07,-0.005,0.008,-0.013,9.98e-07
MUC1,6.79e-07,0.012,-0.003,0.015,8.12e-07
SUV39H2,4.63e-07,-0.015,0.004,-0.018,5.56e-07
RPS14,2.54e-07,-0.011,0.008,-0.019,3.06e-07
SEM1,2.36e-07,-0.011,0.006,-0.017,2.85e-07
FASLG,2.33e-07,0.01,-0.009,0.018,2.82e-07
PARP9,2.29e-07,0.013,-0.004,0.016,2.79e-07
PSMB9,1.36e-07,-0.007,0.009,-0.016,1.66e-07
SEMA4D,1.05e-07,-0.004,0.01,-0.015,1.28e-07
PRKCB,1.03e-07,0.008,-0.006,0.014,1.27e-07
CDK5,6.71e-08,-0.007,0.013,-0.02,8.29e-08
WDR61,2.06e-08,-0.007,0.016,-0.023,2.55e-08
HAND2,1.15e-08,0.012,-0.01,0.022,1.43e-08
PA2G4,1.04e-08,-0.012,0.008,-0.02,1.29e-08
BCL11B,5.54e-09,0.012,-0.009,0.021,6.94e-09
POU2AF1,4.49e-09,0.015,-0.006,0.021,5.64e-09
ACVR1,3.4e-09,0.012,-0.008,0.02,4.29e-09
CD74,3.02e-09,0.016,-0.006,0.022,3.83e-09
SLIRP,2.63e-09,-0.008,0.01,-0.018,3.34e-09
NCF1,6.1e-10,0.016,-0.007,0.023,7.78e-10
EDF1,3.24e-10,-0.012,0.009,-0.021,4.14e-10
HAVCR2,3.21e-10,0.013,-0.01,0.024,4.13e-10
PSMB8,2.66e-10,-0.012,0.009,-0.022,3.43e-10
CRAMP1,1.83e-10,-0.008,0.013,-0.021,2.37e-10
IRF1,1.78e-10,0.014,-0.007,0.021,2.31e-10
ZNF771,8.93e-11,-0.009,0.011,-0.019,1.17e-10
ABHD14B,8.15e-11,-0.009,0.015,-0.024,1.07e-10
NACA,5.71e-11,-0.016,0.009,-0.025,7.51e-11
MRPL12,5.49e-11,-0.014,0.008,-0.021,7.24e-11
APBB1,1.4e-11,-0.011,0.015,-0.027,1.85e-11
SLA2,1.22e-11,0.014,-0.012,0.025,1.63e-11
ARMCX3,1.1e-11,0.014,-0.009,0.023,1.47e-11
THAP3,1.07e-11,-0.018,0.009,-0.028,1.43e-11
SDR16C5,8.1e-12,0.011,-0.003,0.014,1.09e-11
GTF2H5,7.65e-12,-0.012,0.01,-0.022,1.03e-11
REXO4,6.76e-12,-0.018,0.007,-0.025,9.17e-12
PLK3,1.02e-12,0.007,-0.009,0.017,1.39e-12
DPY30,5.59e-13,-0.013,0.009,-0.022,7.64e-13
LPIN3,4.73e-13,-0.014,0.011,-0.026,6.48e-13
RPL6,3.95e-13,-0.014,0.011,-0.025,5.44e-13
FGFR1,3.55e-13,0.009,-0.011,0.02,4.91e-13
SAP18,3.01e-13,-0.014,0.009,-0.022,4.18e-13
RHOQ,2.09e-13,0.011,-0.01,0.021,2.91e-13
TGFA,1.68e-13,0.009,-0.015,0.024,2.35e-13
PSMD6,8.56e-14,-0.018,0.008,-0.027,1.2e-13
NR2F2,7.38e-14,0.018,-0.006,0.025,1.04e-13
ELOB,6.77e-14,-0.009,0.015,-0.024,9.59e-14
CD3D,4.65e-14,0.013,-0.014,0.026,6.62e-14
ZNF831,2.59e-14,0.018,-0.011,0.029,3.69e-14
INO80B,2.41e-14,-0.015,0.015,-0.03,3.45e-14
SIRT6,2.36e-14,-0.014,0.012,-0.026,3.4e-14
CIITA,2.16e-14,0.02,-0.006,0.026,3.13e-14
SS18L2,1.89e-14,-0.017,0.008,-0.025,2.75e-14
PRDX5,1.13e-14,-0.015,0.011,-0.025,1.65e-14
S100A8,8.84e-15,0.01,-0.02,0.03,1.29e-14
FSTL3,8.26e-15,0.006,-0.017,0.023,1.21e-14
CHEK1,2.44e-15,-0.014,0.015,-0.029,3.6e-15
SPP1,2.37e-15,0.01,-0.016,0.026,3.52e-15
ZNF511,1.69e-15,-0.016,0.011,-0.027,2.51e-15
KDM4D,1.13e-15,-0.013,0.015,-0.027,1.69e-15
RRP8,7.39e-16,-0.017,0.01,-0.027,1.11e-15
IL1B,2.43e-16,0.013,-0.016,0.029,3.67e-16
ZNF688,2.2e-16,-0.012,0.015,-0.027,3.34e-16
TLR2,1.54e-16,0.013,-0.018,0.031,2.34e-16
GTF2H2C,7.04e-17,-0.018,0.013,-0.031,1.08e-16
ZFPL1,4.91e-17,-0.018,0.011,-0.029,7.54e-17
TNFAIP3,4.57e-17,0.017,-0.014,0.031,7.05e-17
PYCARD,1.13e-17,0.018,-0.013,0.031,1.75e-17
RELB,6.67e-18,0.015,-0.016,0.03,1.04e-17
PKIA,5.86e-18,0.02,-0.009,0.03,9.16e-18
VAV1,4.28e-18,0.012,-0.01,0.022,6.71e-18
ZSCAN32,2.03e-18,-0.015,0.016,-0.031,3.2e-18
IRF9,1.19e-18,-0.009,0.023,-0.031,1.89e-18
TRIM22,1.06e-18,0.021,-0.011,0.032,1.69e-18
PDE2A,8.75e-19,0.018,-0.014,0.031,1.4e-18
ELP6,3.29e-19,-0.017,0.017,-0.033,5.29e-19
ASF1B,5.96e-20,-0.017,0.015,-0.032,9.62e-20
ZNF862,2.94e-20,-0.012,0.023,-0.034,4.76e-20
NBL1,2.11e-20,0.02,-0.016,0.036,3.44e-20
NUFIP1,7.9e-21,-0.026,0.009,-0.034,1.29e-20
BATF2,4.1e-21,-0.019,0.01,-0.029,6.74e-21
MED31,3.96e-21,-0.017,0.016,-0.033,6.54e-21
ADIRF,2.14e-21,-0.022,0.017,-0.039,3.55e-21
NR4A3,1.93e-21,0.02,-0.014,0.033,3.22e-21
S100A9,7.78e-22,0.015,-0.022,0.037,1.3e-21
CCNL1,6.23e-22,-0.019,0.012,-0.031,1.05e-21
FOXP3,5.7e-22,0.019,-0.015,0.034,9.64e-22
IFI16,4.21e-22,0.023,-0.012,0.035,7.16e-22
ZNF276,1.2e-22,-0.017,0.016,-0.033,2.04e-22
ZNF837,5.68e-23,-0.02,0.017,-0.037,9.76e-23
ZNF524,3.61e-23,-0.021,0.016,-0.036,6.24e-23
FOXO1,7.22e-24,0.025,-0.013,0.038,1.25e-23
CEBPB,3.46e-24,0.015,-0.024,0.038,6.03e-24
ZNF576,1.55e-24,-0.02,0.02,-0.04,2.71e-24
TWIST1,1.36e-24,0.013,-0.017,0.03,2.39e-24
CARF,4.19e-25,-0.013,0.024,-0.036,7.42e-25
DNAJC17,3.46e-25,-0.019,0.016,-0.034,6.15e-25
CSDC2,2.19e-25,0.029,-0.008,0.037,3.91e-25
ICAM1,1.02e-25,0.021,-0.015,0.036,1.84e-25
BHLHE40,6.76e-26,0.018,-0.022,0.04,1.22e-25
TNFSF8,5.74e-26,0.02,-0.016,0.036,1.04e-25
NDUFA13,5.03e-26,-0.018,0.015,-0.033,9.19e-26
ZNF224,3.85e-26,-0.018,0.019,-0.038,7.06e-26
DAB2,2.97e-26,0.021,-0.021,0.042,5.48e-26
LZTS1,2.03e-26,0.022,-0.017,0.039,3.77e-26
ITGB2,1.18e-26,0.022,-0.015,0.037,2.2e-26
APOE,1.03e-26,0.017,-0.02,0.038,1.94e-26
LILRB4,8.22e-27,0.021,-0.017,0.039,1.55e-26
ETV7,6.81e-27,-0.022,0.018,-0.04,1.29e-26
TAF1C,6.1e-27,-0.019,0.017,-0.036,1.16e-26
ZBTB3,5.07e-27,-0.023,0.017,-0.039,9.72e-27
CD86,4.64e-27,0.02,-0.019,0.039,8.95e-27
FAM129B,1.2e-27,0.014,-0.021,0.035,2.32e-27
TSFM,7.02e-28,-0.02,0.019,-0.039,1.37e-27
PIDD1,4.69e-28,-0.019,0.02,-0.039,9.19e-28
RUVBL2,3.87e-28,-0.019,0.017,-0.036,7.64e-28
FBXL15,3.06e-28,-0.022,0.011,-0.034,6.06e-28
