Pval,Mean1,Mean2,FC_Mean,Padjust
CYR61,1,0,0,0,1
ZNF862,0.497,-0.001,0.001,-0.002,0.5
CCNA2,0.378,-0.005,0,-0.005,0.383
APBB1,0.029,0.002,-0.006,0.008,0.0295
ATP8B1,0.0247,0.001,-0.006,0.007,0.0253
DEPDC1,0.0122,-0.007,0.002,-0.009,0.0126
MED31,0.0104,-0.004,0.003,-0.007,0.0109
MSRB2,0.000778,-0.007,0.003,-0.01,0.000814
PLK1,0.000134,-0.008,0.004,-0.012,0.000141
DLGAP5,1.91e-05,-0.009,0.005,-0.014,2.03e-05
LYL1,1.01e-05,-0.018,-0.032,0.014,1.08e-05
PABPC1L,8.59e-06,-0.004,0.003,-0.007,9.24e-06
MYOCD,8.47e-06,0.005,-0.009,0.013,9.18e-06
POU2AF1,5.5e-06,0.006,-0.008,0.013,6e-06
HMGA2,5.34e-06,0.005,-0.009,0.014,5.86e-06
CENPF,3.08e-06,-0.011,0.005,-0.015,3.41e-06
ZNF133,1.08e-06,-0.012,0.006,-0.018,1.2e-06
FOXM1,2.24e-07,-0.012,0.006,-0.018,2.51e-07
CDC45,3.05e-09,-0.012,0.008,-0.02,3.45e-09
AURKB,2.09e-09,-0.011,0.007,-0.018,2.38e-09
ITGA3,1.64e-09,0.004,-0.007,0.011,1.88e-09
BIRC5,3.13e-11,-0.012,0.008,-0.02,3.61e-11
MECOM,2.61e-12,-0.013,0.01,-0.023,3.04e-12
TAF1D,1.06e-12,-0.014,0.01,-0.024,1.25e-12
CDK11A,2.27e-13,-0.015,0.011,-0.026,2.68e-13
GATAD1,1.72e-13,-0.014,0.011,-0.025,2.04e-13
MRPL12,5.4e-14,-0.014,0.01,-0.024,6.48e-14
MED11,2.61e-15,-0.012,0.009,-0.021,3.16e-15
ZNF688,1.65e-15,-0.013,0.01,-0.023,2.01e-15
SARNP,4.28e-16,-0.013,0.011,-0.024,5.26e-16
TOP2A,5.77e-17,-0.016,0.011,-0.027,7.14e-17
FBXL15,1.16e-17,-0.012,0.008,-0.02,1.45e-17
PIDD1,2.95e-19,-0.015,0.014,-0.029,3.71e-19
DMTF1,9.46e-20,-0.013,0.01,-0.023,1.2e-19
SLIRP,2.39e-20,-0.014,0.011,-0.025,3.05e-20
CDH13,2.24e-21,0.009,-0.009,0.018,2.89e-21
ZNF23,1.24e-21,-0.019,0.012,-0.031,1.61e-21
SOX17,3.77e-22,0.015,-0.02,0.036,4.94e-22
FANK1,1.67e-22,-0.018,0.013,-0.032,2.21e-22
HDAC10,1.67e-23,-0.016,0.013,-0.03,2.23e-23
PDE2A,3.52e-25,0.015,-0.022,0.038,4.74e-25
ELP6,6.36e-26,-0.017,0.015,-0.032,8.63e-26
SOX18,1.29e-26,0.015,-0.02,0.035,1.76e-26
ALKBH4,1.22e-26,-0.018,0.015,-0.033,1.68e-26
ZNF354B,1.45e-27,-0.015,0.012,-0.027,2.02e-27
PSMB9,8.85e-28,0.016,-0.02,0.036,1.24e-27
TCEA3,6.85e-30,-0.021,0.016,-0.037,9.72e-30
DDX17,3.15e-32,-0.017,0.014,-0.031,4.51e-32
DKK3,2.86e-32,0.018,-0.027,0.045,4.13e-32
BOLA1,1.02e-32,-0.025,0.02,-0.045,1.49e-32
ZEB2,1.2e-34,0.019,-0.026,0.045,1.77e-34
MXD3,4.75e-35,-0.022,0.019,-0.042,7.06e-35
EFCAB6,3.8e-35,-0.022,0.019,-0.04,5.7e-35
CD28,6.46e-36,0.017,-0.024,0.041,9.78e-36
ANKRD49,2.49e-36,-0.022,0.018,-0.04,3.81e-36
DDX39B,1.23e-37,-0.017,0.014,-0.031,1.9e-37
S1PR1,7.26e-38,0.019,-0.025,0.044,1.13e-37
CD3D,1.03e-38,0.018,-0.022,0.04,1.63e-38
HOPX,8.89e-39,0.018,-0.023,0.041,1.42e-38
SAP18,8.84e-40,-0.02,0.016,-0.036,1.42e-39
GTF2IRD2B,3.78e-40,-0.021,0.017,-0.038,6.14e-40
ZNF337,1.42e-40,-0.018,0.015,-0.033,2.33e-40
MEF2C,9.16e-42,0.022,-0.026,0.048,1.52e-41
TNFSF8,3.02e-43,0.02,-0.026,0.045,5.07e-43
EOMES,2.04e-43,0.022,-0.026,0.048,3.46e-43
TAF1C,1.76e-43,-0.021,0.017,-0.038,3.02e-43
CD74,6.84e-47,0.022,-0.026,0.048,1.19e-46
ZEB1,4.89e-47,0.022,-0.028,0.05,8.56e-47
GLI4,2.04e-47,-0.024,0.019,-0.043,3.61e-47
PTGES2,9.3e-48,-0.024,0.019,-0.043,1.67e-47
HAND2,5.77e-49,0.025,-0.031,0.056,1.05e-48
L3MBTL1,5.38e-49,-0.025,0.023,-0.048,9.88e-49
RBM39,3.43e-49,-0.02,0.018,-0.038,6.37e-49
APOE,7.05e-51,0.022,-0.026,0.049,1.33e-50
TGFB2,4.94e-51,0.023,-0.029,0.052,9.39e-51
TLR2,4.08e-52,0.022,-0.028,0.05,7.85e-52
S100A9,2.28e-52,0.02,-0.026,0.046,4.46e-52
NCF1,1.59e-52,0.022,-0.027,0.049,3.14e-52
PNN,5.39e-54,-0.024,0.019,-0.043,1.08e-53
ZNF169,4.46e-54,-0.024,0.025,-0.049,9.03e-54
