p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
4.51695244789e-47	2.02103945079e-44	GO:0034654	b	4	nucleobase-containing compound biosynthetic process	87; 94; 322; 332; 348; 399; 857; 890; 920; 940; 942; 944; 972; 1012; 1063; 1240; 1601; 1634; 1901; 2078; 2303; 2305; 2313; 2316; 3055; 3383; 3569; 3627; 3675; 3689; 4066; 4208; 4854; 5008; 5138; 5347; 5396; 5450; 5698; 22797; 6280; 6424; 6556; 6608; 6688; 6935; 7040; 7041; 7042; 7097; 7099; 7128; 7153; 8061; 8091; 4855; 23213; 8318; 8320; 9212; 9242; 9464; 9787; 9839; 10320; 11006; 56917; 114548; 149628; 84525; 150372; 84868; 389136; 54345; 284119; 54796; 55635; 57413; 25959; 26585; 93649; 27122; 653361; 64321	CD74; TGFB1; CDH13; FOSL1; PLK1; BIRC5; ITGA3; TGFB2; CD4; ERG; FOXM1; SULF1; HAND2; CXCL10; DAB2; PDE2A; MSC; IKZF1; CAV1; DCN; MEF2C; APOE; CCNA2; LILRB4; NLRP3; SLC11A1; TMIGD3; SPI1; S1PR1; MEIS3; APBB1; ITGB2; CD86; EOMES; CAVIN1; TNFSF8; OSM; ICAM1; DLGAP5; S100A9; GREM1; TOP2A; SOX18; CD28; LYL1; TLR4; TFEC; CENPF; FLI1; VGLL3; PYHIN1; CDC45; RHOH; ACVRL1; TGFB1I1; SOX17; HCK; ZEB1; ZEB2; SMO; ACTN1; HOPX; SFRP4; POU2AF1; HMGA2; TLR2; BNC2; DKK3; TNFAIP3; NOTCH3; IL6; NOTCH4; NFAM1; DEPDC1; KANK2; PSMB9; AURKB; PRRX1; FLNA; NCF1; CMKLR1; FOXC2; HAVCR2; MYOCD	4307	4080
6.92136798216e-47	2.02103945079e-44	GO:0009889	b	4	regulation of biosynthetic process	87; 94; 322; 332; 348; 399; 857; 890; 920; 940; 942; 944; 972; 1012; 1063; 1240; 1601; 1634; 1901; 2078; 2303; 2305; 2313; 2316; 3055; 3383; 3569; 3627; 3675; 3689; 4066; 4208; 4854; 5008; 5138; 5341; 5347; 5396; 5450; 5698; 22797; 6280; 6424; 6556; 6608; 6688; 6935; 7040; 7041; 7042; 7097; 7099; 7128; 7153; 8061; 8091; 4855; 23213; 8318; 8320; 9212; 9242; 9464; 9787; 9839; 10320; 11006; 56917; 114548; 149628; 84525; 150372; 84868; 389136; 54345; 54796; 55635; 57413; 25959; 26585; 93649; 27122; 653361; 64321	CD74; TGFB1; CDH13; FOSL1; PLK1; BIRC5; ITGA3; TGFB2; CD4; ERG; FOXM1; SULF1; HAND2; CXCL10; DAB2; PDE2A; MSC; IKZF1; CAV1; DCN; MEF2C; APOE; CCNA2; LILRB4; NLRP3; SLC11A1; TMIGD3; SPI1; S1PR1; MEIS3; APBB1; ITGB2; CD86; EOMES; TNFSF8; OSM; ICAM1; DLGAP5; S100A9; GREM1; TOP2A; SOX18; CD28; LYL1; TLR4; TFEC; CENPF; FLI1; VGLL3; PYHIN1; CDC45; RHOH; ZEB1; ACVRL1; TGFB1I1; SOX17; HCK; PLEK; ZEB2; SMO; ACTN1; HOPX; SFRP4; POU2AF1; HMGA2; TLR2; BNC2; DKK3; TNFAIP3; NOTCH3; IL6; NOTCH4; NFAM1; DEPDC1; KANK2; PSMB9; AURKB; PRRX1; FLNA; NCF1; CMKLR1; FOXC2; HAVCR2; MYOCD	4310	4101
1.6468626413e-46	2.99684484721e-44	GO:0018130	b	4	heterocycle biosynthetic process	87; 94; 322; 332; 348; 399; 857; 890; 920; 940; 942; 944; 972; 1012; 1063; 1240; 1601; 1634; 1901; 2078; 2303; 2305; 2313; 2316; 3055; 3383; 3569; 3627; 3675; 3689; 4066; 4208; 4854; 5008; 5138; 5347; 5396; 5450; 5698; 22797; 6280; 6424; 6556; 6608; 6688; 6935; 7040; 7041; 7042; 7097; 7099; 7128; 7153; 8061; 8091; 4855; 23213; 8318; 8320; 9212; 9242; 9464; 9787; 9839; 10320; 11006; 56917; 114548; 149628; 84525; 150372; 84868; 389136; 54345; 284119; 54796; 55635; 57413; 25959; 26585; 93649; 27122; 653361; 64321	CD74; TGFB1; CDH13; FOSL1; PLK1; BIRC5; ITGA3; TGFB2; CD4; ERG; FOXM1; SULF1; HAND2; CXCL10; DAB2; PDE2A; MSC; IKZF1; CAV1; DCN; MEF2C; APOE; CCNA2; LILRB4; NLRP3; SLC11A1; TMIGD3; SPI1; S1PR1; MEIS3; APBB1; ITGB2; CD86; EOMES; CAVIN1; TNFSF8; OSM; ICAM1; DLGAP5; S100A9; GREM1; TOP2A; SOX18; CD28; LYL1; TLR4; TFEC; CENPF; FLI1; VGLL3; PYHIN1; CDC45; RHOH; ACVRL1; TGFB1I1; SOX17; HCK; ZEB1; ZEB2; SMO; ACTN1; HOPX; SFRP4; POU2AF1; HMGA2; TLR2; BNC2; DKK3; TNFAIP3; NOTCH3; IL6; NOTCH4; NFAM1; DEPDC1; KANK2; PSMB9; AURKB; PRRX1; FLNA; NCF1; CMKLR1; FOXC2; HAVCR2; MYOCD	4372	4144
2.05263345699e-46	2.99684484721e-44	GO:0019438	b	4	aromatic compound biosynthetic process	87; 94; 322; 332; 348; 399; 857; 890; 920; 940; 942; 944; 972; 1012; 1063; 1240; 1601; 1634; 1901; 2078; 2303; 2305; 2313; 2316; 3055; 3383; 3569; 3627; 3675; 3689; 4066; 4208; 4854; 5008; 5138; 5347; 5396; 5450; 5698; 22797; 6280; 6424; 6556; 6608; 6688; 6935; 7040; 7041; 7042; 7097; 7099; 7128; 7153; 8061; 8091; 4855; 23213; 8318; 8320; 9212; 9242; 9464; 9787; 9839; 10320; 11006; 56917; 114548; 149628; 84525; 150372; 84868; 389136; 54345; 284119; 54796; 55635; 57413; 25959; 26585; 93649; 27122; 653361; 64321	CD74; TGFB1; CDH13; FOSL1; PLK1; BIRC5; ITGA3; TGFB2; CD4; ERG; FOXM1; SULF1; HAND2; CXCL10; DAB2; PDE2A; MSC; IKZF1; CAV1; DCN; MEF2C; APOE; CCNA2; LILRB4; NLRP3; SLC11A1; TMIGD3; SPI1; S1PR1; MEIS3; APBB1; ITGB2; CD86; EOMES; CAVIN1; TNFSF8; OSM; ICAM1; DLGAP5; S100A9; GREM1; TOP2A; SOX18; CD28; LYL1; TLR4; TFEC; CENPF; FLI1; VGLL3; PYHIN1; CDC45; RHOH; ACVRL1; TGFB1I1; SOX17; HCK; ZEB1; ZEB2; SMO; ACTN1; HOPX; SFRP4; POU2AF1; HMGA2; TLR2; BNC2; DKK3; TNFAIP3; NOTCH3; IL6; NOTCH4; NFAM1; DEPDC1; KANK2; PSMB9; AURKB; PRRX1; FLNA; NCF1; CMKLR1; FOXC2; HAVCR2; MYOCD	4383	4155
3.40738852333e-45	3.97982979525e-43	GO:1901362	b	4	organic cyclic compound biosynthetic process	87; 94; 322; 332; 348; 399; 857; 890; 920; 940; 942; 944; 972; 1012; 1063; 1240; 1601; 1634; 1901; 2078; 2303; 2305; 2313; 2316; 3055; 3383; 3569; 3627; 3675; 3689; 4066; 4208; 4854; 5008; 5138; 5347; 5396; 5450; 5698; 22797; 6280; 6424; 6556; 6608; 6688; 6935; 7040; 7041; 7042; 7097; 7099; 7128; 7153; 8061; 8091; 4855; 23213; 8318; 8320; 9212; 9242; 9464; 9787; 9839; 10320; 11006; 56917; 114548; 149628; 84525; 150372; 84868; 389136; 54345; 284119; 54796; 55635; 57413; 25959; 26585; 93649; 27122; 653361; 64321	CD74; TGFB1; CDH13; FOSL1; PLK1; BIRC5; ITGA3; TGFB2; CD4; ERG; FOXM1; SULF1; HAND2; CXCL10; DAB2; PDE2A; MSC; IKZF1; CAV1; DCN; MEF2C; APOE; CCNA2; LILRB4; NLRP3; SLC11A1; TMIGD3; SPI1; S1PR1; MEIS3; APBB1; ITGB2; CD86; EOMES; CAVIN1; TNFSF8; OSM; ICAM1; DLGAP5; S100A9; GREM1; TOP2A; SOX18; CD28; LYL1; TLR4; TFEC; CENPF; FLI1; VGLL3; PYHIN1; CDC45; RHOH; ACVRL1; TGFB1I1; SOX17; HCK; ZEB1; ZEB2; SMO; ACTN1; HOPX; SFRP4; POU2AF1; HMGA2; TLR2; BNC2; DKK3; TNFAIP3; NOTCH3; IL6; NOTCH4; NFAM1; DEPDC1; KANK2; PSMB9; AURKB; PRRX1; FLNA; NCF1; CMKLR1; FOXC2; HAVCR2; MYOCD	4529	4298
7.6872075395e-42	7.48221533845e-40	GO:0034645	b	4	cellular macromolecule biosynthetic process	87; 94; 322; 332; 348; 399; 857; 890; 920; 940; 942; 944; 972; 1012; 1063; 1240; 1601; 1634; 1901; 2078; 2303; 2305; 2313; 2316; 3055; 3383; 3569; 3627; 3675; 3689; 4066; 4208; 4854; 5008; 5138; 5347; 5396; 5450; 5698; 22797; 6280; 6424; 6556; 6608; 6688; 6935; 7040; 7041; 7042; 7097; 7099; 7128; 7153; 8061; 8091; 4855; 23213; 8318; 8320; 9212; 9242; 9464; 9787; 9839; 10320; 11006; 56917; 114548; 149628; 84525; 150372; 84868; 389136; 54345; 284119; 54796; 55635; 57413; 25959; 26585; 93649; 27122; 653361; 64321	CD74; TGFB1; CDH13; FOSL1; PLK1; BIRC5; ITGA3; TGFB2; CD4; ERG; FOXM1; SULF1; HAND2; CXCL10; DAB2; PDE2A; MSC; IKZF1; CAV1; DCN; MEF2C; APOE; CCNA2; LILRB4; NLRP3; SLC11A1; TMIGD3; SPI1; S1PR1; MEIS3; APBB1; ITGB2; CD86; EOMES; CAVIN1; TNFSF8; OSM; ICAM1; DLGAP5; S100A9; GREM1; TOP2A; SOX18; CD28; LYL1; TLR4; TFEC; CENPF; FLI1; VGLL3; PYHIN1; CDC45; RHOH; ACVRL1; TGFB1I1; SOX17; HCK; ZEB1; ZEB2; SMO; ACTN1; HOPX; SFRP4; POU2AF1; HMGA2; TLR2; BNC2; DKK3; TNFAIP3; NOTCH3; IL6; NOTCH4; NFAM1; DEPDC1; KANK2; PSMB9; AURKB; PRRX1; FLNA; NCF1; CMKLR1; FOXC2; HAVCR2; MYOCD	4976	4718
1.41591522713e-41	1.18127784663e-39	GO:0044271	b	4	cellular nitrogen compound biosynthetic process	87; 94; 322; 332; 348; 399; 857; 890; 920; 940; 942; 944; 972; 1012; 1063; 1240; 1601; 1634; 1901; 2078; 2303; 2305; 2313; 2316; 3055; 3383; 3569; 3627; 3675; 3689; 4066; 4208; 4854; 5008; 5138; 5347; 5396; 5450; 5698; 22797; 6280; 6424; 6556; 6608; 6688; 6935; 7040; 7041; 7042; 7097; 7099; 7128; 7153; 8061; 8091; 4855; 23213; 8318; 8320; 9212; 9242; 9464; 9787; 9839; 10320; 11006; 56917; 114548; 149628; 84525; 150372; 84868; 389136; 54345; 284119; 54796; 55635; 57413; 25959; 26585; 93649; 27122; 653361; 64321	CD74; TGFB1; CDH13; FOSL1; PLK1; BIRC5; ITGA3; TGFB2; CD4; ERG; FOXM1; SULF1; HAND2; CXCL10; DAB2; PDE2A; MSC; IKZF1; CAV1; DCN; MEF2C; APOE; CCNA2; LILRB4; NLRP3; SLC11A1; TMIGD3; SPI1; S1PR1; MEIS3; APBB1; ITGB2; CD86; EOMES; CAVIN1; TNFSF8; OSM; ICAM1; DLGAP5; S100A9; GREM1; TOP2A; SOX18; CD28; LYL1; TLR4; TFEC; CENPF; FLI1; VGLL3; PYHIN1; CDC45; RHOH; ACVRL1; TGFB1I1; SOX17; HCK; ZEB1; ZEB2; SMO; ACTN1; HOPX; SFRP4; POU2AF1; HMGA2; TLR2; BNC2; DKK3; TNFAIP3; NOTCH3; IL6; NOTCH4; NFAM1; DEPDC1; KANK2; PSMB9; AURKB; PRRX1; FLNA; NCF1; CMKLR1; FOXC2; HAVCR2; MYOCD	5019	4753
2.30032124082e-41	1.6792345058e-39	GO:0009059	b	4	macromolecule biosynthetic process	87; 94; 322; 332; 348; 399; 857; 890; 920; 940; 942; 944; 972; 1012; 1063; 1240; 1601; 1634; 1901; 2078; 2303; 2305; 2313; 2316; 3055; 3383; 3569; 3627; 3675; 3689; 4066; 4208; 4854; 5008; 5138; 5347; 5396; 5450; 5698; 22797; 6280; 6424; 6556; 6608; 6688; 6935; 7040; 7041; 7042; 7097; 7099; 7128; 7153; 8061; 8091; 4855; 23213; 8318; 8320; 9212; 9242; 9464; 9787; 9839; 10320; 11006; 56917; 114548; 149628; 84525; 150372; 84868; 389136; 54345; 284119; 54796; 55635; 57413; 25959; 26585; 93649; 27122; 653361; 64321	CD74; TGFB1; CDH13; FOSL1; PLK1; BIRC5; ITGA3; TGFB2; CD4; ERG; FOXM1; SULF1; HAND2; CXCL10; DAB2; PDE2A; MSC; IKZF1; CAV1; DCN; MEF2C; APOE; CCNA2; LILRB4; NLRP3; SLC11A1; TMIGD3; SPI1; S1PR1; MEIS3; APBB1; ITGB2; CD86; EOMES; CAVIN1; TNFSF8; OSM; ICAM1; DLGAP5; S100A9; GREM1; TOP2A; SOX18; CD28; LYL1; TLR4; TFEC; CENPF; FLI1; VGLL3; PYHIN1; CDC45; RHOH; ACVRL1; TGFB1I1; SOX17; HCK; ZEB1; ZEB2; SMO; ACTN1; HOPX; SFRP4; POU2AF1; HMGA2; TLR2; BNC2; DKK3; TNFAIP3; NOTCH3; IL6; NOTCH4; NFAM1; DEPDC1; KANK2; PSMB9; AURKB; PRRX1; FLNA; NCF1; CMKLR1; FOXC2; HAVCR2; MYOCD	5040	4781
7.35509266034e-40	4.77263790405e-38	GO:0090304	b	4	nucleic acid metabolic process	87; 94; 322; 332; 348; 399; 857; 890; 920; 940; 942; 944; 972; 1012; 1063; 1240; 1601; 1634; 1901; 2078; 2303; 2305; 2313; 2316; 3055; 3383; 3569; 3627; 3675; 3689; 4066; 4208; 4854; 5008; 5138; 5347; 5396; 5450; 5698; 22797; 6280; 6424; 6556; 6608; 6688; 6935; 7040; 7041; 7042; 7097; 7099; 7128; 7153; 8061; 8091; 4855; 23213; 8318; 8320; 9212; 9242; 9464; 9787; 9839; 10320; 11006; 56917; 114548; 149628; 84525; 150372; 84868; 389136; 54345; 284119; 54796; 55635; 57413; 25959; 26585; 93649; 27122; 653361; 64321	CD74; TGFB1; CDH13; FOSL1; PLK1; BIRC5; ITGA3; TGFB2; CD4; ERG; FOXM1; SULF1; HAND2; CXCL10; DAB2; PDE2A; MSC; IKZF1; CAV1; DCN; MEF2C; APOE; CCNA2; LILRB4; NLRP3; SLC11A1; TMIGD3; SPI1; S1PR1; MEIS3; APBB1; ITGB2; CD86; EOMES; CAVIN1; TNFSF8; OSM; ICAM1; DLGAP5; S100A9; GREM1; TOP2A; SOX18; CD28; LYL1; TLR4; TFEC; CENPF; FLI1; VGLL3; PYHIN1; CDC45; RHOH; ACVRL1; TGFB1I1; SOX17; HCK; ZEB1; ZEB2; SMO; ACTN1; HOPX; SFRP4; POU2AF1; HMGA2; TLR2; BNC2; DKK3; TNFAIP3; NOTCH3; IL6; NOTCH4; NFAM1; DEPDC1; KANK2; PSMB9; AURKB; PRRX1; FLNA; NCF1; CMKLR1; FOXC2; HAVCR2; MYOCD	5270	4986
9.91658289667e-38	5.79128441165e-36	GO:0010467	b	4	gene expression	87; 94; 322; 332; 348; 399; 857; 890; 920; 940; 942; 944; 972; 1012; 1063; 1240; 1601; 1634; 1901; 2078; 2303; 2305; 2313; 2316; 3055; 3383; 3569; 3627; 3675; 3689; 4066; 4208; 4854; 5008; 5138; 5347; 5396; 5450; 5698; 22797; 6280; 6424; 6556; 6608; 6688; 6935; 7040; 7041; 7042; 7097; 7099; 7128; 7153; 8061; 8091; 4855; 23213; 8318; 8320; 9212; 9242; 9464; 9787; 9839; 10320; 11006; 56917; 114548; 149628; 84525; 150372; 84868; 389136; 54345; 284119; 54796; 55635; 57413; 25959; 26585; 93649; 27122; 653361; 64321	CD74; TGFB1; CDH13; FOSL1; PLK1; BIRC5; ITGA3; TGFB2; CD4; ERG; FOXM1; SULF1; HAND2; CXCL10; DAB2; PDE2A; MSC; IKZF1; CAV1; DCN; MEF2C; APOE; CCNA2; LILRB4; NLRP3; SLC11A1; TMIGD3; SPI1; S1PR1; MEIS3; APBB1; ITGB2; CD86; EOMES; CAVIN1; TNFSF8; OSM; ICAM1; DLGAP5; S100A9; GREM1; TOP2A; SOX18; CD28; LYL1; TLR4; TFEC; CENPF; FLI1; VGLL3; PYHIN1; CDC45; RHOH; ACVRL1; TGFB1I1; SOX17; HCK; ZEB1; ZEB2; SMO; ACTN1; HOPX; SFRP4; POU2AF1; HMGA2; TLR2; BNC2; DKK3; TNFAIP3; NOTCH3; IL6; NOTCH4; NFAM1; DEPDC1; KANK2; PSMB9; AURKB; PRRX1; FLNA; NCF1; CMKLR1; FOXC2; HAVCR2; MYOCD	5644	5292
