p.value	q.value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.76058733279e-69	5.70430295825e-67	GO:0034654	b	4	nucleobase-containing compound biosynthetic process	177; 80764; 708; 990; 1020; 1050; 1111; 1869; 79736; 2648; 2738; 2874; 2968; 3299; 4194; 5036; 5092; 5296; 5300; 5705; 6128; 6182; 6208; 6233; 6257; 55693; 6621; 6881; 6923; 388962; 7335; 728340; 7542; 7556; 7566; 7571; 7574; 7629; 7692; 7919; 8409; 8721; 9013; 9063; 9093; 57018; 83463; 9400; 9406; 9443; 9988; 10102; 10284; 10302; 10307; 10379; 10621; 10629; 10856; 10915; 10974; 11091; 51027; 11261; 400569; 404672; 51079; 79039; 79176; 79177; 7767; 55657; 169841; 79723; 79800; 51548; 79943; 80152; 80173; 80142; 80279; 80336; 146542; 114803; 147807; 84836; 115950; 166793; 57585; 116412; 51042; 83933; 51188; 51282; 51333; 84135; 117143; 84524; 100125288; 84619; 55192; 117608; 84851; 51003; 118472; 643641; 54851; 55367; 54925; 55929; 80349; 23378; 23408; 1877; 285989; 9442; 57109; 90326; 57684; 25776; 25824; 26039; 26152; 124512; 92002; 124790; 26354; 27148; 94104; 4795; 26747; 81669; 64768; 64900; 92822	HSF4; ZRANB2; AGER; POLR3F; REXO4; ZNF76; GNL3; UXT; DDX39B; DNAJC17; TSFM; APBB3; ZNF576; NDUFA13; ZNF789; WDR61; DMTF1; CCNL1; WDR5; CCNL2; NFKBIL1; MYSM1; MED27; SCAND1; SNAPC5; SNAPC4; CENPT; MDM4; PA2G4; DNAJA3; CCNQ; PTGES2; PIDD1; ZGPAT; ZNF276; HDAC10; ZBTB26; ZNF771; RECQL5; RPL6; RPS27A; KAT2A; ZNF696; ZNF593; MED7; METTL23; ZNF169; RUVBL2; PAXBP1; DDX54; FBXL15; PIK3R2; DMAP1; ZNF511; CHEK1; MRPL12; MED31; ZNF224; SIRT6; SIRT5; IFT74; GPS2; ZNF26; ZNF23; HEXIM2; GTF2H4; CBY1; NUFIP1; ZC3H8; IRF9; ZNF354B; STK36; ZNF337; TCERG1; ADIRF; TAF10; ELOB; SS18L1; ZNF837; MXD3; CDC6; TRIM52; PABPC1L; SS18L2; C1QBP; RRP8; UTP15; ZNF692; SAP18; ZGLP1; RXRB; TEFM; UBE2V1; CARF; TAF1C; ZNF524; GTF2H2C; PIAS2; CDK5; CDK5RAP3; ZNF133; TADA1; RPS14; PRDX5; PCBD1; CHP1; ZNF688; ZNF18; PIN1; ZNF10; CEBPA; LPIN3; TAF6L; MED11; GLI4; KDM4D; PSMC5; EDF1; CRAMP1; ZFPL1; ANKRD49; SUV39H2; GTF2H5; ABHD14B; E4F1; IPPK; THAP3; E2F1; THAP7; ZNF862; BOLA1; ZBTB49; BOLA3; ZSCAN32; ZNF653	4222	4204
3.9775817849e-69	6.44368249154e-67	GO:0009889	b	4	regulation of biosynthetic process	177; 80764; 708; 990; 1020; 1050; 1111; 1869; 2648; 2738; 2874; 2968; 3299; 4194; 5036; 5092; 5296; 5300; 5705; 6128; 6182; 6208; 6233; 6257; 55693; 6621; 6881; 6923; 388962; 7335; 728340; 7542; 7556; 7566; 7571; 7574; 7629; 7692; 7919; 8409; 8721; 9013; 9063; 9093; 57018; 83463; 9400; 9406; 9443; 9988; 10102; 10284; 10302; 10307; 10379; 10621; 10629; 10856; 10915; 10974; 11091; 51027; 11261; 400569; 404672; 51079; 79039; 79176; 79177; 7767; 55657; 169841; 79723; 79800; 51548; 79943; 80152; 80173; 80142; 80279; 80336; 146542; 114803; 147807; 84836; 115950; 166793; 57585; 116412; 51042; 83933; 51188; 51282; 51333; 84135; 84324; 117143; 84524; 100125288; 84619; 55192; 117608; 84851; 51003; 118472; 643641; 54851; 55367; 54925; 55929; 80349; 23378; 23408; 1877; 285989; 9442; 57109; 90326; 57684; 25776; 25824; 26039; 26152; 124512; 92002; 124790; 26354; 27148; 94104; 4795; 26747; 81669; 64768; 64900; 92822	HSF4; ZRANB2; AGER; POLR3F; REXO4; ZNF76; GNL3; UXT; DDX39B; DNAJC17; TSFM; APBB3; ZNF576; NDUFA13; ZNF789; WDR61; DMTF1; CCNL1; WDR5; CCNL2; NFKBIL1; MYSM1; SCAND1; SNAPC5; SNAPC4; CENPT; MDM4; PA2G4; DNAJA3; CCNQ; PTGES2; PIDD1; ZGPAT; SARNP; HDAC10; ZBTB26; ZNF771; RECQL5; RPL6; RPS27A; KAT2A; ZNF696; ZNF593; MED7; METTL23; ZNF169; RUVBL2; PAXBP1; DDX54; FBXL15; PIK3R2; DMAP1; ZNF511; CHEK1; MRPL12; MED31; ZNF224; SIRT6; SIRT5; IFT74; GPS2; ZNF26; ZNF23; HEXIM2; GTF2H4; CBY1; NUFIP1; ZC3H8; IRF9; ZNF354B; STK36; ZNF337; TCERG1; ADIRF; TAF10; ELOB; SS18L1; ZNF837; MXD3; CDC6; TRIM52; PABPC1L; SS18L2; C1QBP; RRP8; UTP15; ZNF692; SAP18; ZGLP1; RXRB; MED27; UBE2V1; CARF; TAF1C; ZNF524; GTF2H2C; PIAS2; CDK5; CDK5RAP3; ZNF133; TADA1; RPS14; PRDX5; PCBD1; CHP1; ZNF688; ZNF18; PIN1; ZNF10; ZNF276; CEBPA; LPIN3; TAF6L; MED11; GLI4; KDM4D; PSMC5; EDF1; CRAMP1; ZFPL1; ANKRD49; SUV39H2; GTF2H5; ABHD14B; E4F1; IPPK; THAP3; E2F1; THAP7; ZNF862; BOLA1; ZBTB49; BOLA3; ZSCAN32; ZNF653	4246	4230
1.25706265869e-68	1.35762767138e-66	GO:0018130	b	4	heterocycle biosynthetic process	177; 80764; 708; 990; 1020; 1050; 1111; 1869; 79736; 2648; 2738; 2874; 2968; 3299; 4194; 5036; 5092; 5296; 5300; 5705; 6128; 6182; 6208; 6233; 6257; 55693; 6621; 6881; 6923; 388962; 7335; 728340; 7542; 7556; 7566; 7571; 7574; 7629; 7692; 7919; 8409; 8721; 9013; 9063; 9093; 57018; 83463; 9400; 9406; 9443; 9988; 10102; 10284; 10302; 10307; 10379; 10621; 10629; 10856; 10915; 10974; 11091; 51027; 11261; 400569; 404672; 51079; 79039; 79176; 79177; 7767; 55657; 169841; 79723; 79800; 51548; 79943; 80152; 80173; 80142; 80279; 80336; 146542; 114803; 147807; 84836; 115950; 166793; 57585; 116412; 51042; 83933; 51188; 51282; 51333; 84135; 117143; 84524; 100125288; 84619; 55192; 117608; 84851; 51003; 118472; 643641; 54851; 55367; 54925; 55929; 80349; 23378; 23408; 1877; 285989; 9442; 57109; 90326; 57684; 25776; 25824; 26039; 26152; 124512; 92002; 124790; 26354; 27148; 94104; 4795; 26747; 81669; 64768; 64900; 92822	HSF4; ZRANB2; AGER; POLR3F; REXO4; ZNF76; GNL3; UXT; DDX39B; DNAJC17; TSFM; APBB3; ZNF576; NDUFA13; ZNF789; WDR61; DMTF1; CCNL1; WDR5; CCNL2; NFKBIL1; MYSM1; MED27; SCAND1; SNAPC5; SNAPC4; CENPT; MDM4; PA2G4; DNAJA3; CCNQ; PTGES2; PIDD1; ZGPAT; ZNF276; HDAC10; ZBTB26; ZNF771; RECQL5; RPL6; RPS27A; KAT2A; ZNF696; ZNF593; MED7; METTL23; ZNF169; RUVBL2; PAXBP1; DDX54; FBXL15; PIK3R2; DMAP1; ZNF511; CHEK1; MRPL12; MED31; ZNF224; SIRT6; SIRT5; IFT74; GPS2; ZNF26; ZNF23; HEXIM2; GTF2H4; CBY1; NUFIP1; ZC3H8; IRF9; ZNF354B; STK36; ZNF337; TCERG1; ADIRF; TAF10; ELOB; SS18L1; ZNF837; MXD3; CDC6; TRIM52; PABPC1L; SS18L2; C1QBP; RRP8; UTP15; ZNF692; SAP18; ZGLP1; RXRB; TEFM; UBE2V1; CARF; TAF1C; ZNF524; GTF2H2C; PIAS2; CDK5; CDK5RAP3; ZNF133; TADA1; RPS14; PRDX5; PCBD1; CHP1; ZNF688; ZNF18; PIN1; ZNF10; CEBPA; LPIN3; TAF6L; MED11; GLI4; KDM4D; PSMC5; EDF1; CRAMP1; ZFPL1; ANKRD49; SUV39H2; GTF2H5; ABHD14B; E4F1; IPPK; THAP3; E2F1; THAP7; ZNF862; BOLA1; ZBTB49; BOLA3; ZSCAN32; ZNF653	4285	4267
1.76618951994e-68	1.43061351115e-66	GO:0019438	b	4	aromatic compound biosynthetic process	177; 80764; 708; 990; 1020; 1050; 1111; 1869; 79736; 2648; 2738; 2874; 2968; 3299; 4194; 5036; 5092; 5296; 5300; 5705; 6128; 6182; 6208; 6233; 6257; 55693; 6621; 6881; 6923; 388962; 7335; 728340; 7542; 7556; 7566; 7571; 7574; 7629; 7692; 7919; 8409; 8721; 9013; 9063; 9093; 57018; 83463; 9400; 9406; 9443; 9988; 10102; 10284; 10302; 10307; 10379; 10621; 10629; 10856; 10915; 10974; 11091; 51027; 11261; 400569; 404672; 51079; 79039; 79176; 79177; 7767; 55657; 169841; 79723; 79800; 51548; 79943; 80152; 80173; 80142; 80279; 80336; 146542; 114803; 147807; 84836; 115950; 166793; 57585; 116412; 51042; 83933; 51188; 51282; 51333; 84135; 117143; 84524; 100125288; 84619; 55192; 117608; 84851; 51003; 118472; 643641; 54851; 55367; 54925; 55929; 80349; 23378; 23408; 1877; 285989; 9442; 57109; 90326; 57684; 25776; 25824; 26039; 26152; 124512; 92002; 124790; 26354; 27148; 94104; 4795; 26747; 81669; 64768; 64900; 92822	HSF4; ZRANB2; AGER; POLR3F; REXO4; ZNF76; GNL3; UXT; DDX39B; DNAJC17; TSFM; APBB3; ZNF576; NDUFA13; ZNF789; WDR61; DMTF1; CCNL1; WDR5; CCNL2; NFKBIL1; MYSM1; MED27; SCAND1; SNAPC5; SNAPC4; CENPT; MDM4; PA2G4; DNAJA3; CCNQ; PTGES2; PIDD1; ZGPAT; ZNF276; HDAC10; ZBTB26; ZNF771; RECQL5; RPL6; RPS27A; KAT2A; ZNF696; ZNF593; MED7; METTL23; ZNF169; RUVBL2; PAXBP1; DDX54; FBXL15; PIK3R2; DMAP1; ZNF511; CHEK1; MRPL12; MED31; ZNF224; SIRT6; SIRT5; IFT74; GPS2; ZNF26; ZNF23; HEXIM2; GTF2H4; CBY1; NUFIP1; ZC3H8; IRF9; ZNF354B; STK36; ZNF337; TCERG1; ADIRF; TAF10; ELOB; SS18L1; ZNF837; MXD3; CDC6; TRIM52; PABPC1L; SS18L2; C1QBP; RRP8; UTP15; ZNF692; SAP18; ZGLP1; RXRB; TEFM; UBE2V1; CARF; TAF1C; ZNF524; GTF2H2C; PIAS2; CDK5; CDK5RAP3; ZNF133; TADA1; RPS14; PRDX5; PCBD1; CHP1; ZNF688; ZNF18; PIN1; ZNF10; CEBPA; LPIN3; TAF6L; MED11; GLI4; KDM4D; PSMC5; EDF1; CRAMP1; ZFPL1; ANKRD49; SUV39H2; GTF2H5; ABHD14B; E4F1; IPPK; THAP3; E2F1; THAP7; ZNF862; BOLA1; ZBTB49; BOLA3; ZSCAN32; ZNF653	4296	4278
7.62025238599e-68	4.93792354612e-66	GO:0090304	b	4	nucleic acid metabolic process	177; 80764; 708; 990; 1020; 1050; 1111; 1869; 79736; 2648; 2738; 2874; 2968; 3299; 4194; 5036; 5092; 5296; 5300; 5411; 5705; 6128; 6182; 6208; 6233; 6257; 6433; 55693; 6621; 6881; 6923; 388962; 7335; 728340; 7542; 7556; 7566; 7571; 7574; 7629; 7692; 7919; 8409; 8721; 9013; 9063; 9093; 57018; 83463; 9400; 9406; 9443; 9584; 9988; 10102; 10284; 10302; 10307; 10379; 10621; 10629; 10856; 10915; 10974; 11091; 51027; 11261; 400569; 404672; 51079; 79039; 79176; 79177; 7767; 55657; 169841; 79723; 79800; 51548; 79943; 80152; 80173; 80142; 80279; 80336; 146542; 81892; 114803; 147807; 84836; 115950; 166793; 57585; 83444; 116412; 51042; 83933; 51188; 51282; 51333; 84135; 84324; 117143; 84524; 100125288; 84619; 55192; 117608; 84851; 51003; 118472; 643641; 54851; 54859; 55367; 54925; 55929; 80349; 23378; 23408; 1877; 285989; 9442; 57109; 90326; 57684; 25776; 25824; 26039; 26152; 124512; 92002; 124790; 26354; 27148; 94104; 4795; 26747; 81669; 64768; 64900; 92822	HSF4; ZRANB2; AGER; POLR3F; REXO4; ZNF76; GNL3; UXT; DDX39B; DNAJC17; TSFM; APBB3; ZNF576; NDUFA13; ZNF789; WDR61; DMTF1; CCNL1; WDR5; CCNL2; NFKBIL1; MYSM1; MED27; SCAND1; SNAPC5; SNAPC4; CENPT; MDM4; PA2G4; DNAJA3; CCNQ; PTGES2; PIDD1; ZGPAT; SARNP; HDAC10; ZBTB26; ZNF771; RECQL5; RPL6; RPS27A; KAT2A; ZNF696; ZNF593; MED7; METTL23; ZNF169; RUVBL2; PAXBP1; DDX54; FBXL15; PIK3R2; DMAP1; ZNF511; RBM39; CHEK1; MRPL12; MED31; ZNF224; SIRT6; SIRT5; IFT74; GPS2; ZNF26; ZNF23; ELP6; ABHD14B; CBY1; NUFIP1; ZC3H8; IRF9; ZNF354B; STK36; ZNF337; HEXIM2; TCERG1; ADIRF; TAF10; ELOB; SS18L1; ZNF837; MXD3; CDC6; TRIM52; PABPC1L; IPPK; SS18L2; C1QBP; RRP8; UTP15; ZNF692; SAP18; ZGLP1; RXRB; TEFM; UBE2V1; CARF; TAF1C; ZNF524; GTF2H2C; PIAS2; CDK5; CDK5RAP3; ZNF133; TADA1; RPS14; PRDX5; PCBD1; CHP1; ZNF688; ZNF18; PIN1; ZNF10; ZNF276; CEBPA; SLIRP; TAF6L; MED11; GLI4; KDM4D; PSMC5; EDF1; CRAMP1; ZFPL1; ANKRD49; SUV39H2; GTF2H5; GTF2H4; E4F1; SFSWAP; INO80B; LPIN3; THAP3; E2F1; THAP7; ZNF862; PNN; BOLA1; ZBTB49; BOLA3; ZSCAN32; ZNF653	5174	5151
1.16430768455e-66	6.28726149659e-65	GO:1901362	b	4	organic cyclic compound biosynthetic process	177; 80764; 708; 990; 1020; 1050; 1111; 1869; 79736; 2648; 2738; 2874; 2968; 3299; 4194; 5036; 5092; 5296; 5300; 5705; 6128; 6182; 6208; 6233; 6257; 55693; 6621; 6881; 6923; 388962; 7335; 728340; 7542; 7556; 7566; 7571; 7574; 7629; 7692; 7919; 8409; 8721; 9013; 9063; 9093; 57018; 83463; 9400; 9406; 9443; 9988; 10102; 10284; 10302; 10307; 10379; 10621; 10629; 10856; 10915; 10974; 11091; 51027; 11261; 400569; 404672; 51079; 79039; 79176; 79177; 7767; 55657; 169841; 79723; 79800; 51548; 79943; 80152; 80173; 80142; 80279; 80336; 146542; 114803; 147807; 84836; 115950; 166793; 57585; 116412; 51042; 83933; 51188; 51282; 51333; 84135; 117143; 84524; 100125288; 84619; 55192; 117608; 84851; 51003; 118472; 643641; 54851; 55367; 54925; 55929; 80349; 23378; 23408; 1877; 285989; 9442; 57109; 90326; 57684; 25776; 25824; 26039; 26152; 124512; 92002; 124790; 26354; 27148; 94104; 4795; 26747; 81669; 64768; 64900; 92822	HSF4; ZRANB2; AGER; POLR3F; REXO4; ZNF76; GNL3; UXT; DDX39B; DNAJC17; TSFM; APBB3; ZNF576; NDUFA13; ZNF789; WDR61; DMTF1; CCNL1; WDR5; CCNL2; NFKBIL1; MYSM1; MED27; SCAND1; SNAPC5; SNAPC4; CENPT; MDM4; PA2G4; DNAJA3; CCNQ; PTGES2; PIDD1; ZGPAT; ZNF276; HDAC10; ZBTB26; ZNF771; RECQL5; RPL6; RPS27A; KAT2A; ZNF696; ZNF593; MED7; METTL23; ZNF169; RUVBL2; PAXBP1; DDX54; FBXL15; PIK3R2; DMAP1; ZNF511; CHEK1; MRPL12; MED31; ZNF224; SIRT6; SIRT5; IFT74; GPS2; ZNF26; ZNF23; HEXIM2; GTF2H4; CBY1; NUFIP1; ZC3H8; IRF9; ZNF354B; STK36; ZNF337; TCERG1; ADIRF; TAF10; ELOB; SS18L1; ZNF837; MXD3; CDC6; TRIM52; PABPC1L; SS18L2; C1QBP; RRP8; UTP15; ZNF692; SAP18; ZGLP1; RXRB; TEFM; UBE2V1; CARF; TAF1C; ZNF524; GTF2H2C; PIAS2; CDK5; CDK5RAP3; ZNF133; TADA1; RPS14; PRDX5; PCBD1; CHP1; ZNF688; ZNF18; PIN1; ZNF10; CEBPA; LPIN3; TAF6L; MED11; GLI4; KDM4D; PSMC5; EDF1; CRAMP1; ZFPL1; ANKRD49; SUV39H2; GTF2H5; ABHD14B; E4F1; IPPK; THAP3; E2F1; THAP7; ZNF862; BOLA1; ZBTB49; BOLA3; ZSCAN32; ZNF653	4434	4416
2.90048471895e-62	1.34251006991e-60	GO:0044271	b	4	cellular nitrogen compound biosynthetic process	177; 80764; 708; 990; 1020; 1050; 1111; 1869; 79736; 2648; 2738; 2874; 2968; 3299; 4194; 5036; 5092; 5296; 5300; 5705; 6128; 6182; 6208; 6233; 6257; 55693; 6621; 6881; 6923; 388962; 7335; 728340; 7542; 7556; 7566; 7571; 7574; 7629; 7692; 7919; 8409; 8721; 9013; 9063; 9093; 57018; 83463; 9400; 9406; 9443; 9988; 10102; 10284; 10302; 10307; 10379; 10621; 10629; 10856; 10915; 10974; 11091; 51027; 11261; 400569; 404672; 51079; 79039; 79176; 79177; 7767; 55657; 169841; 79723; 79800; 51548; 79943; 80152; 80173; 80142; 80279; 80336; 146542; 114803; 147807; 84836; 115950; 166793; 57585; 116412; 51042; 83933; 51188; 51282; 51333; 84135; 84324; 117143; 84524; 100125288; 84619; 55192; 117608; 84851; 51003; 118472; 643641; 54851; 55367; 54925; 55929; 80349; 23378; 23408; 1877; 285989; 9442; 57109; 90326; 57684; 25776; 25824; 26039; 26152; 124512; 92002; 124790; 26354; 27148; 94104; 4795; 26747; 81669; 64768; 64900; 92822	HSF4; ZRANB2; AGER; POLR3F; REXO4; ZNF76; GNL3; UXT; DDX39B; DNAJC17; TSFM; APBB3; ZNF576; NDUFA13; ZNF789; WDR61; DMTF1; CCNL1; WDR5; CCNL2; NFKBIL1; MYSM1; MED27; SCAND1; SNAPC5; SNAPC4; CENPT; MDM4; PA2G4; DNAJA3; CCNQ; PTGES2; PIDD1; ZGPAT; SARNP; HDAC10; ZBTB26; ZNF771; RECQL5; RPL6; RPS27A; KAT2A; ZNF696; ZNF593; MED7; METTL23; ZNF169; RUVBL2; PAXBP1; DDX54; FBXL15; PIK3R2; DMAP1; ZNF511; CHEK1; MRPL12; MED31; ZNF224; SIRT6; SIRT5; IFT74; GPS2; ZNF26; ZNF23; HEXIM2; GTF2H4; CBY1; NUFIP1; ZC3H8; IRF9; ZNF354B; STK36; ZNF337; TCERG1; ADIRF; TAF10; ELOB; SS18L1; ZNF837; MXD3; CDC6; TRIM52; PABPC1L; SS18L2; C1QBP; RRP8; UTP15; ZNF692; SAP18; ZGLP1; RXRB; TEFM; UBE2V1; CARF; TAF1C; ZNF524; GTF2H2C; PIAS2; CDK5; CDK5RAP3; ZNF133; TADA1; RPS14; PRDX5; PCBD1; CHP1; ZNF688; ZNF18; PIN1; ZNF10; ZNF276; CEBPA; LPIN3; TAF6L; MED11; GLI4; KDM4D; PSMC5; EDF1; CRAMP1; ZFPL1; ANKRD49; SUV39H2; GTF2H5; ABHD14B; E4F1; IPPK; THAP3; E2F1; THAP7; ZNF862; BOLA1; ZBTB49; BOLA3; ZSCAN32; ZNF653	4906	4885
7.71070157898e-62	3.12283413949e-60	GO:0010467	b	4	gene expression	177; 80764; 708; 990; 1020; 1050; 1111; 1869; 79736; 2648; 2738; 2874; 2968; 3299; 4194; 5036; 5092; 5296; 5300; 5411; 5705; 6128; 6182; 6208; 6233; 6257; 6433; 55693; 6621; 6881; 6923; 388962; 7335; 728340; 7542; 7556; 7566; 7571; 7574; 7629; 7692; 7919; 8409; 8721; 9013; 9063; 9093; 57018; 83463; 9400; 9406; 9443; 9584; 9988; 10102; 10284; 10302; 10307; 10379; 10621; 10629; 10856; 10915; 10974; 11091; 51027; 11261; 400569; 404672; 51079; 79039; 79176; 79177; 7767; 55657; 169841; 79723; 79800; 51548; 79943; 80152; 80173; 80142; 80279; 80336; 146542; 114803; 147807; 84836; 115950; 166793; 57585; 116412; 51042; 83933; 51188; 51282; 51333; 84135; 84324; 117143; 84524; 100125288; 84619; 55192; 117608; 84851; 51003; 118472; 643641; 54851; 54859; 55367; 54925; 55929; 80349; 23378; 23408; 1877; 285989; 9442; 57109; 90326; 57684; 25776; 25824; 26039; 26152; 124512; 92002; 124790; 26354; 27148; 94104; 4795; 26747; 81669; 64768; 64900; 92822	HSF4; ZRANB2; AGER; POLR3F; REXO4; ZNF76; GNL3; UXT; DDX39B; DNAJC17; TSFM; APBB3; ZNF576; NDUFA13; ZNF789; WDR61; DMTF1; CCNL1; WDR5; CCNL2; NFKBIL1; MYSM1; MED27; SCAND1; SNAPC5; SNAPC4; CENPT; MDM4; PA2G4; DNAJA3; CCNQ; PTGES2; PIDD1; ZGPAT; SARNP; HDAC10; ZBTB26; ZNF771; RECQL5; RPL6; RPS27A; KAT2A; ZNF696; ZNF593; MED7; METTL23; ZNF169; RUVBL2; PAXBP1; DDX54; FBXL15; PIK3R2; DMAP1; ZNF511; RBM39; CHEK1; MRPL12; MED31; ZNF224; SIRT6; SIRT5; IFT74; GPS2; ZNF26; ZNF23; ELP6; ABHD14B; CBY1; NUFIP1; ZC3H8; IRF9; ZNF354B; STK36; ZNF337; HEXIM2; TCERG1; ADIRF; TAF10; ELOB; SS18L1; ZNF837; MXD3; CDC6; TRIM52; PABPC1L; SS18L2; C1QBP; RRP8; UTP15; ZNF692; SAP18; ZGLP1; RXRB; TEFM; UBE2V1; CARF; TAF1C; ZNF524; GTF2H2C; PIAS2; CDK5; CDK5RAP3; ZNF133; TADA1; RPS14; PRDX5; PCBD1; CHP1; ZNF688; ZNF18; PIN1; ZNF10; ZNF276; CEBPA; LPIN3; TAF6L; MED11; GLI4; KDM4D; PSMC5; EDF1; CRAMP1; ZFPL1; ANKRD49; SUV39H2; GTF2H5; GTF2H4; E4F1; SFSWAP; IPPK; THAP3; E2F1; THAP7; ZNF862; PNN; BOLA1; ZBTB49; BOLA3; ZSCAN32; ZNF653	5440	5417
2.39028525076e-61	8.60502690274e-60	GO:0034645	b	4	cellular macromolecule biosynthetic process	177; 80764; 708; 990; 1020; 1050; 1111; 1869; 79736; 2648; 2738; 2874; 2968; 3299; 4194; 5036; 5092; 5296; 5300; 5705; 6128; 6182; 6208; 6233; 6257; 55693; 6621; 6881; 6923; 388962; 7335; 728340; 7542; 7556; 7566; 7571; 7574; 7629; 7692; 7919; 8409; 8721; 9013; 9063; 9093; 57018; 83463; 9400; 9406; 9443; 9988; 10102; 10284; 10302; 10307; 10379; 10621; 10629; 10856; 10915; 10974; 11091; 51027; 11261; 400569; 404672; 51079; 79176; 79177; 7767; 55657; 169841; 79723; 79800; 51548; 79943; 80152; 80173; 80142; 80279; 80336; 146542; 114803; 147807; 84836; 115950; 166793; 57585; 116412; 51042; 83933; 51188; 51282; 51333; 84135; 84324; 117143; 84524; 100125288; 84619; 55192; 117608; 84851; 51003; 118472; 643641; 54851; 55367; 54925; 55929; 80349; 23378; 23408; 1877; 285989; 9442; 57109; 90326; 57684; 25776; 25824; 26039; 26152; 124512; 92002; 124790; 26354; 27148; 94104; 4795; 26747; 81669; 64768; 64900; 92822	HSF4; ZRANB2; AGER; POLR3F; REXO4; ZNF76; GNL3; UXT; DDX39B; DNAJC17; TSFM; APBB3; ZNF576; NDUFA13; ZNF789; WDR61; DMTF1; CCNL1; WDR5; CCNL2; NFKBIL1; MYSM1; MED27; SCAND1; SNAPC5; SNAPC4; CENPT; MDM4; PA2G4; DNAJA3; CCNQ; PTGES2; PIDD1; ZGPAT; SARNP; HDAC10; ZBTB26; ZNF771; RECQL5; RPL6; RPS27A; KAT2A; ZNF696; ZNF593; MED7; METTL23; ZNF169; RUVBL2; PAXBP1; FBXL15; PIK3R2; DMAP1; ZNF511; CHEK1; MRPL12; MED31; ZNF224; SIRT6; SIRT5; IFT74; GPS2; ZNF26; ZNF23; HEXIM2; GTF2H4; CBY1; NUFIP1; ZC3H8; IRF9; ZNF354B; STK36; ZNF337; TCERG1; ADIRF; TAF10; ELOB; SS18L1; ZNF837; MXD3; CDC6; TRIM52; PABPC1L; SS18L2; C1QBP; RRP8; UTP15; ZNF692; SAP18; ZGLP1; RXRB; TEFM; UBE2V1; CARF; TAF1C; ZNF524; GTF2H2C; PIAS2; CDK5; CDK5RAP3; ZNF133; TADA1; RPS14; PRDX5; PCBD1; CHP1; ZNF688; ZNF18; PIN1; ZNF10; ZNF276; CEBPA; LPIN3; TAF6L; MED11; GLI4; KDM4D; PSMC5; EDF1; CRAMP1; ZFPL1; ANKRD49; SUV39H2; GTF2H5; ABHD14B; E4F1; IPPK; THAP3; E2F1; THAP7; ZNF862; BOLA1; ZBTB49; BOLA3; ZSCAN32; ZNF653	4867	4847
4.81324659917e-61	1.55949189813e-59	GO:0009059	b	4	macromolecule biosynthetic process	177; 80764; 708; 990; 1020; 1050; 1111; 1869; 79736; 2648; 2738; 2874; 2968; 3299; 4194; 5036; 5092; 5296; 5300; 5705; 6128; 6182; 6208; 6233; 6257; 55693; 6621; 6881; 6923; 388962; 7335; 728340; 7542; 7556; 7566; 7571; 7574; 7629; 7692; 7919; 8409; 8721; 9013; 9063; 9093; 57018; 83463; 9400; 9406; 9443; 9988; 10102; 10284; 10302; 10307; 10379; 10621; 10629; 10856; 10915; 10974; 11091; 51027; 11261; 400569; 404672; 51079; 79039; 79176; 79177; 7767; 55657; 169841; 79723; 79800; 51548; 79943; 80152; 80173; 80142; 80279; 80336; 146542; 114803; 147807; 84836; 115950; 166793; 57585; 116412; 51042; 83933; 51188; 51282; 51333; 84135; 84324; 117143; 84524; 100125288; 84619; 55192; 117608; 84851; 51003; 118472; 643641; 54851; 55367; 54925; 55929; 80349; 23378; 23408; 1877; 285989; 9442; 57109; 90326; 57684; 25776; 25824; 26039; 26152; 124512; 92002; 124790; 26354; 27148; 94104; 4795; 26747; 81669; 64768; 64900; 92822	HSF4; ZRANB2; AGER; POLR3F; REXO4; ZNF76; GNL3; UXT; DDX39B; DNAJC17; TSFM; APBB3; ZNF576; NDUFA13; ZNF789; WDR61; DMTF1; CCNL1; WDR5; CCNL2; NFKBIL1; MYSM1; MED27; SCAND1; SNAPC5; SNAPC4; CENPT; MDM4; PA2G4; DNAJA3; CCNQ; PTGES2; PIDD1; ZGPAT; SARNP; HDAC10; ZBTB26; ZNF771; RECQL5; RPL6; RPS27A; KAT2A; ZNF696; ZNF593; MED7; METTL23; ZNF169; RUVBL2; PAXBP1; DDX54; FBXL15; PIK3R2; DMAP1; ZNF511; CHEK1; MRPL12; MED31; ZNF224; SIRT6; SIRT5; IFT74; GPS2; ZNF26; ZNF23; HEXIM2; GTF2H4; CBY1; NUFIP1; ZC3H8; IRF9; ZNF354B; STK36; ZNF337; TCERG1; ADIRF; TAF10; ELOB; SS18L1; ZNF837; MXD3; CDC6; TRIM52; PABPC1L; SS18L2; C1QBP; RRP8; UTP15; ZNF692; SAP18; ZGLP1; RXRB; TEFM; UBE2V1; CARF; TAF1C; ZNF524; GTF2H2C; PIAS2; CDK5; CDK5RAP3; ZNF133; TADA1; RPS14; PRDX5; PCBD1; CHP1; ZNF688; ZNF18; PIN1; ZNF10; ZNF276; CEBPA; LPIN3; TAF6L; MED11; GLI4; KDM4D; PSMC5; EDF1; CRAMP1; ZFPL1; ANKRD49; SUV39H2; GTF2H5; ABHD14B; E4F1; IPPK; THAP3; E2F1; THAP7; ZNF862; BOLA1; ZBTB49; BOLA3; ZSCAN32; ZNF653	5010	4990
