p.value	q.value	complex_name	source	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.17737848652e-06	0.000200612203539	STAGA complex	CORUM	TAF10; TADA1; TAF6L; KAT2A	2648; 6881; 10629; 117143	12	12
8.57794298871e-06	0.000203726145982	PC2	PINdb	MED11; MED31; MED7; MED27	9442; 9443; 51003; 400569	15	15
0.00015760631673	0.00166362223215	PC2 complex	CORUM	MED31; MED7; MED27	9442; 9443; 51003	12	12
0.000390584521758	0.00316445208132	TFTC complex (TATA-binding protein-free TAF-II-containing complex)	CORUM	TAF10; TAF6L; KAT2A	2648; 6881; 10629	16	16
0.000499650328629	0.00316445208132	WRAD  complex (WDR5, RBBP5, ASH2L, DPY30)	CORUM	DPY30; WDR5	11091; 84661	4	4
0.000827745091769	0.00413872545884	SNAPc	Reactome	SNAPC5; SNAPC4	6621; 10302	5	5
0.00171745225048	0.00686749182807	TFIIH Core	Reactome	GTF2H5; GTF2H4	2968; 404672	7	7
0.00227620036906	0.00686749182807	SAGA	Reactome	TAF10; KAT2A	2648; 6881	8	8
0.00227620036906	0.00686749182807	CRSP complex	CORUM	MED7; MED27	9442; 9443	8	8
0.00227620036906	0.00686749182807	NuA4/Tip60-HAT complex B	CORUM	DMAP1; RUVBL2	10856; 55929	8	8
0.00233690306696	0.00686749182807	RNA Polymerase I promoter escape complex	Reactome	TAF1C; GTF2H5; GTF2H4	2968; 9013; 404672	29	29
0.00290900082529	0.00686749182807	PFD-like	PINdb	UXT; RUVBL2	8409; 10856	9	9
0.0036144693832	0.00686749182807	ATAC complex, GCN5-linked	CORUM	WDR5; KAT2A	2648; 11091	10	10
0.0036144693832	0.00686749182807	PCAF complex	CORUM	TAF10; TAF6L	6881; 10629	10	10
0.00615332129341	0.0110295381674	INO80 chromatin remodeling complex	CORUM	INO80B; RUVBL2	10856; 83444	13	13
0.00673521476074	0.0111134296503	26S proteasome	Reactome	PSMD6; PSMC5; SEM1	5705; 7979; 9861	42	42
0.00713599167019	0.0111134296503	DRIP complex	CORUM	MED7; RXRB	6257; 9443	14	14
0.00713599167019	0.0111134296503	emerin C32	PINdb	DPY30; SAP18	10284; 84661	14	14
0.0092981289314	0.0122683645623	TRAP complex	CORUM	MED31; MED27	9442; 51003	16	16
