MR,Adj_Pval,Adj.Pval
LDB2,3.21461646372082e-06,3.21461646372082e-06
RUNX1T1,1.62550604102881e-13,1.62550604102881e-13
ZNF423,1.44574420139634e-06,1.44574420139634e-06
DLL4,0.00158593083277746,0.00158593083277746
FOXO1,3.81750060316441e-08,3.81750060316441e-08
SOX18,2.93264021814755e-05,2.93264021814755e-05
RFX8,9.42324609307069e-09,9.42324609307069e-09
PDE2A,0.000272393913065148,0.000272393913065148
ZNF366,0.00380359527912363,0.00380359527912363
KIT,4.83735549219505e-05,4.83735549219505e-05
EDNRB,0.0194738013277963,0.0194738013277963
RAMP3,3.61762969610697e-06,3.61762969610697e-06
FOXF1,2.07282956615102e-14,2.07282956615102e-14
GLIS3,7.0370456724623e-09,7.0370456724623e-09
TCF4,2.43416162347842e-32,2.43416162347842e-32
NR2F2,6.64300773574555e-12,6.64300773574555e-12
HTRA1,8.21792334212552e-06,8.21792334212552e-06
SOX17,6.2185479643514e-05,6.2185479643514e-05
MEF2C,1.30813708990306e-41,1.30813708990306e-41
ZNF521,2.63265675478999e-26,2.63265675478999e-26
EBF1,9.0360970702789e-40,9.0360970702789e-40
ACVRL1,1.2186830675192e-28,1.2186830675192e-28
WNT4,0.00049372026727544,0.00049372026727544
PRDM16,2.78250412474986e-05,2.78250412474986e-05
NOTCH4,1.25262253800337e-06,1.25262253800337e-06
ENG,3.08023065161769e-24,3.08023065161769e-24
PKIA,6.94022907717491e-08,6.94022907717491e-08
BCL6B,1.41233774675137e-11,1.41233774675137e-11
TBX2,1.32515164996775e-17,1.32515164996775e-17
CYR61,2.69387801753019e-28,2.69387801753019e-28
SNAPC5,1.68927811047941e-40,1.68927811047941e-40
METTL23,2.7570540902742e-59,2.7570540902742e-59
GTF2IRD2B,5.14690275339893e-49,5.14690275339893e-49
MSRB2,2.61789776221211e-30,2.61789776221211e-30
ZNF18,3.93545848966393e-40,3.93545848966393e-40
BOLA1,8.14169430056327e-64,8.14169430056327e-64
ZNF837,5.17479711072892e-80,5.17479711072892e-80
HDAC10,3.1994440115403e-62,3.1994440115403e-62
NFKBIL1,1.28374680744993e-66,1.28374680744993e-66
HSF4,1.26385268450757e-82,1.26385268450757e-82
GLI4,3.94751322400802e-56,3.94751322400802e-56
ZNF511,1.77920068092572e-56,1.77920068092572e-56
ZNF789,1.10048196530481e-67,1.10048196530481e-67
TAF6L,4.32937166307681e-60,4.32937166307681e-60
PTGES2,2.198670380365e-44,2.198670380365e-44
WDR61,2.02188051213178e-30,2.02188051213178e-30
EDF1,3.18184133166811e-53,3.18184133166811e-53
POLR3F,1.04714759185584e-56,1.04714759185584e-56
UTP15,1.90562358443534e-71,1.90562358443534e-71
E4F1,2.26526154108438e-66,2.26526154108438e-66
BOLA3,6.46819808391606e-42,6.46819808391606e-42
CBY1,5.88372562058511e-29,5.88372562058511e-29
SAP18,1.52652761471539e-36,1.52652761471539e-36
CENPT,1.00111657010968e-25,1.00111657010968e-25
ZNF367,1.54180560427888e-32,1.54180560427888e-32
CARF,7.74530454507022e-37,7.74530454507022e-37
PCBD1,5.80324453418592e-46,5.80324453418592e-46
CDK5RAP3,2.32484118025588e-52,2.32484118025588e-52
RECQL5,8.99055982535992e-69,8.99055982535992e-69
ZNF133,4.85025601954764e-37,4.85025601954764e-37
DNAJA3,1.92142413648076e-58,1.92142413648076e-58
WDR5,5.88372562058511e-29,5.88372562058511e-29
KAT2A,6.30633229369543e-53,6.30633229369543e-53
